Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Time: 34.81 s, dT: 0.1000 s, Temp: 55.04 C, Target: 50.23 C, Output: 0
Time: 34.91 s, dT: 0.1000 s, Temp: 55.09 C, Target: 50.25 C, Output: 0
Time: 35.01 s, dT: 0.1000 s, Temp: 55.07 C, Target: 50.28 C, Output: 0
Time: 35.11 s, dT: 0.1000 s, Temp: 55.06 C, Target: 50.30 C, Output: 0
Time: 35.21 s, dT: 0.1000 s, Temp: 55.05 C, Target: 50.33 C, Output: 0
Time: 35.31 s, dT: 0.1000 s, Temp: 55.07 C, Target: 50.35 C, Output: 0
Time: 35.41 s, dT: 0.1000 s, Temp: 55.04 C, Target: 50.38 C, Output: 0
Time: 35.51 s, dT: 0.1000 s, Temp: 55.11 C, Target: 50.40 C, Output: 0
Time: 35.61 s, dT: 0.1000 s, Temp: 55.05 C, Target: 50.43 C, Output: 0
Time: 35.71 s, dT: 0.1000 s, Temp: 55.07 C, Target: 50.45 C, Output: 0
Time: 35.81 s, dT: 0.1000 s, Temp: 55.09 C, Target: 50.48 C, Output: 0
Time: 35.91 s, dT: 0.1000 s, Temp: 54.99 C, Target: 50.50 C, Output: 0
Time: 36.01 s, dT: 0.1000 s, Temp: 55.09 C, Target: 50.53 C, Output: 0
Time: 36.11 s, dT: 0.1000 s, Temp: 55.09 C, Target: 50.55 C, Output: 0
Time: 36.21 s, dT: 0.1000 s, Temp: 55.05 C, Target: 50.58 C, Output: 0
Time: 36.31 s, dT: 0.1000 s, Temp: 55.09 C, Target: 50.60 C, Output: 0
Time: 36.41 s, dT: 0.1000 s, Temp: 55.02 C, Target: 50.63 C, Output: 0
Time: 36.51 s, dT: 0.1000 s, Temp: 55.12 C, Target: 50.65 C, Output: 0
Time: 36.61 s, dT: 0.1000 s, Temp: 55.15 C, Target: 50.68 C, Output: 0
Time: 36.71 s, dT: 0.1010 s, Temp: 55.05 C, Target: 50.70 C, Output: 0
Time: 36.81 s, dT: 0.1000 s, Temp: 55.04 C, Target: 50.73 C, Output: 0
Time: 36.91 s, dT: 0.1000 s, Temp: 54.99 C, Target: 50.75 C, Output: 0
Time: 37.01 s, dT: 0.1000 s, Temp: 54.98 C, Target: 50.78 C, Output: 0
Time: 37.11 s, dT: 0.1000 s, Temp: 54.99 C, Target: 50.80 C, Output: 0
Time: 37.21 s, dT: 0.1000 s, Temp: 54.99 C, Target: 50.83 C, Output: 0
Time: 37.31 s, dT: 0.1000 s, Temp: 54.98 C, Target: 50.85 C, Output: 0
Time: 37.41 s, dT: 0.1000 s, Temp: 54.91 C, Target: 50.88 C, Output: 0
Time: 37.51 s, dT: 0.1000 s, Temp: 54.92 C, Target: 50.90 C, Output: 0
Time: 37.61 s, dT: 0.1000 s, Temp: 55.00 C, Target: 50.93 C, Output: 0
Time: 37.71 s, dT: 0.1000 s, Temp: 54.98 C, Target: 50.95 C, Output: 0
Time: 37.81 s, dT: 0.1000 s, Temp: 55.02 C, Target: 50.98 C, Output: 0
Time: 37.91 s, dT: 0.1000 s, Temp: 54.98 C, Target: 51.00 C, Output: 0
Time: 38.01 s, dT: 0.1000 s, Temp: 54.95 C, Target: 51.03 C, Output: 0
Time: 38.11 s, dT: 0.1000 s, Temp: 54.99 C, Target: 51.05 C, Output: 0
Time: 38.21 s, dT: 0.1000 s, Temp: 55.04 C, Target: 51.08 C, Output: 0
Time: 38.31 s, dT: 0.1000 s, Temp: 54.92 C, Target: 51.10 C, Output: 0
Time: 38.41 s, dT: 0.1000 s, Temp: 54.88 C, Target: 51.13 C, Output: 0
Time: 38.51 s, dT: 0.1000 s, Temp: 55.02 C, Target: 51.15 C, Output: 0
Time: 38.61 s, dT: 0.1000 s, Temp: 54.91 C, Target: 51.18 C, Output: 0
Time: 38.71 s, dT: 0.1000 s, Temp: 54.95 C, Target: 51.20 C, Output: 0
Time: 38.81 s, dT: 0.1000 s, Temp: 54.99 C, Target: 51.23 C, Output: 0
Time: 38.91 s, dT: 0.1000 s, Temp: 54.91 C, Target: 51.25 C, Output: 0
Time: 39.01 s, dT: 0.1000 s, Temp: 54.91 C, Target: 51.28 C, Output: 0
Time: 39.11 s, dT: 0.1000 s, Temp: 54.97 C, Target: 51.30 C, Output: 0
Time: 39.21 s, dT: 0.1000 s, Temp: 54.99 C, Target: 51.33 C, Output: 0
Time: 39.31 s, dT: 0.1000 s, Temp: 54.90 C, Target: 51.35 C, Output: 0
Time: 39.41 s, dT: 0.1000 s, Temp: 54.92 C, Target: 51.38 C, Output: 0
Time: 39.51 s, dT: 0.1000 s, Temp: 54.95 C, Target: 51.40 C, Output: 0
Time: 39.61 s, dT: 0.1000 s, Temp: 54.92 C, Target: 51.43 C, Output: 0
