Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
00 C, Output: 0
Time: 30.81 s, dT: 0.1000 s, Temp: 25.38 C, Target: 52.13 C, Output: 255
Time: 30.91 s, dT: 0.1000 s, Temp: 25.45 C, Target: 52.17 C, Output: 255
Time: 31.01 s, dT: 0.1000 s, Temp: 25.45 C, Target: 52.22 C, Output: 255
Time: 31.11 s, dT: 0.1000 s, Temp: 25.41 C, Target: 52.27 C, Output: 255
Time: 31.21 s, dT: 0.1000 s, Temp: 25.41 C, Target: 52.31 C, Output: 255
Time: 31.31 s, dT: 0.1000 s, Temp: 25.45 C, Target: 52.36 C, Output: 255
Time: 31.41 s, dT: 0.1000 s, Temp: 25.41 C, Target: 52.41 C, Output: 255
Time: 31.51 s, dT: 0.1000 s, Temp: 25.43 C, Target: 52.45 C, Output: 255
Time: 31.61 s, dT: 0.1000 s, Temp: 25.41 C, Target: 52.50 C, Output: 255
Time: 31.71 s, dT: 0.1000 s, Temp: 25.41 C, Target: 52.54 C, Output: 255
Time: 31.81 s, dT: 0.1000 s, Temp: 25.32 C, Target: 52.59 C, Output: 255
Time: 31.91 s, dT: 0.1000 s, Temp: 25.43 C, Target: 52.64 C, Output: 255
Time: 32.01 s, dT: 0.1000 s, Temp: 25.39 C, Target: 52.68 C, Output: 255
Time: 32.11 s, dT: 0.1000 s, Temp: 25.39 C, Target: 52.73 C, Output: 255
Time: 32.21 s, dT: 0.1000 s, Temp: 25.41 C, Target: 52.78 C, Output: 255
Time: 32.31 s, dT: 0.1000 s, Temp: 25.41 C, Target: 52.82 C, Output: 255
Time: 32.41 s, dT: 0.1000 s, Temp: 25.37 C, Target: 52.87 C, Output: 255
Time: 32.51 s, dT: 0.1000 s, Temp: 25.37 C, Target: 52.91 C, Output: 255
Time: 32.61 s, dT: 0.1000 s, Temp: 25.41 C, Target: 52.96 C, Output: 255
Time: 32.71 s, dT: 0.1000 s, Temp: 25.35 C, Target: 53.01 C, Output: 255
Time: 32.81 s, dT: 0.1000 s, Temp: 25.39 C, Target: 53.05 C, Output: 255
Time: 32.91 s, dT: 0.1000 s, Temp: 25.37 C, Target: 53.10 C, Output: 255
Time: 33.01 s, dT: 0.1000 s, Temp: 25.35 C, Target: 53.15 C, Output: 255
Time: 33.11 s, dT: 0.1000 s, Temp: 25.41 C, Target: 53.19 C, Output: 255
Time: 33.21 s, dT: 0.1000 s, Temp: 25.41 C, Target: 53.24 C, Output: 255
Time: 33.31 s, dT: 0.1000 s, Temp: 25.49 C, Target: 53.28 C, Output: 255
Time: 33.41 s, dT: 0.1000 s, Temp: 25.43 C, Target: 53.33 C, Output: 255
Time: 33.51 s, dT: 0.1000 s, Temp: 25.41 C, Target: 53.38 C, Output: 255
Time: 33.61 s, dT: 0.1000 s, Temp: 25.45 C, Target: 53.42 C, Output: 255
Time: 33.71 s, dT: 0.1000 s, Temp: 25.41 C, Target: 53.47 C, Output: 255
Time: 33.81 s, dT: 0.1000 s, Temp: 25.37 C, Target: 53.52 C, Output: 255
Time: 33.91 s, dT: 0.1000 s, Temp: 25.33 C, Target: 53.56 C, Output: 255
Time: 34.01 s, dT: 0.1000 s, Temp: 25.33 C, Target: 53.61 C, Output: 255
Time: 34.11 s, dT: 0.1000 s, Temp: 25.35 C, Target: 53.65 C, Output: 255
Time: 34.21 s, dT: 0.1000 s, Temp: 25.30 C, Target: 53.70 C, Output: 255
Time: 34.31 s, dT: 0.1000 s, Temp: 25.35 C, Target: 53.75 C, Output: 255
Time: 34.41 s, dT: 0.1000 s, Temp: 25.39 C, Target: 53.79 C, Output: 255
Time: 34.51 s, dT: 0.1000 s, Temp: 25.39 C, Target: 53.84 C, Output: 255
Time: 34.61 s, dT: 0.1000 s, Temp: 25.39 C, Target: 53.89 C, Output: 255
Time: 34.71 s, dT: 0.1000 s, Temp: 25.38 C, Target: 53.93 C, Output: 255
Time: 34.81 s, dT: 0.1000 s, Temp: 25.37 C, Target: 53.98 C, Output: 255
Time: 34.91 s, dT: 0.1000 s, Temp: 25.41 C, Target: 54.02 C, Output: 255
Time: 35.01 s, dT: 0.1000 s, Temp: 25.44 C, Target: 54.07 C, Output: 255
Time: 35.11 s, dT: 0.1000 s, Temp: 25.38 C, Target: 54.12 C, Output: 255
Time: 35.21 s, dT: 0.1000 s, Temp: 25.35 C, Target: 54.16 C, Output: 255
Time: 35.31 s, dT: 0.1000 s, Temp: 25.34 C, Target: 54.21 C, Output: 255
Time: 35.41 s, dT: 0.1000 s, Temp: 25.39 C, Target: 54.26 C, Output: 255
Time: 35.51 s, dT: 0.1000 s, Temp: 25.41 C, Target: 54.30 C, Output: 255
Time: 35.61 s, dT: 0.1000 s, Temp: 25.43 C, Target: 54.35 C, Output: 255
Time: 35.71 s, dT: 0.1000 s, Temp: 25.44 C, Target: 54.39 C, Output: 255
Time: 35.81 s, dT: 0.1000 s, Temp: 25.37 C, Target: 54.44 C, Output: 255
Time: 35.91 s, dT: 0.1000 s, Temp: 25.39 C, Target: 54.49 C, Output: 255
Time: 36.01 s, dT: 0.1000 s, Temp: 25.37 C, Target: 54.53 C, Output: 255
Time: 36.11 s, dT: 0.1000 s, Temp: 25.41 C, Target: 54.58 C, Output: 255
Time: 36.21 s, dT: 0.1000 s, Temp: 25.43 C, Target: 54.63 C, Output: 255
Time: 36.31 s, dT: 0.1000 s, Temp: 25.33 C, Target: 54.67 C, Output: 255
Time: 36.41 s, dT: 0.1000 s, Temp: 25.38 C, Target: 54.72 C, Output: 255
Time: 36.51 s, dT: 0.1000 s, Temp: 25.38 C, Target: 54.76 C, Output: 255
Time: 36.61 s, dT: 0.1000 s, Temp: 25.45 C, Target: 54.81 C, Output: 255
Time: 36.71 s, dT: 0.1000 s, Temp: 25.43 C, Target: 54.86 C, Output: 255
Time: 36.81 s, dT: 0.1000 s, Temp: 25.43 C, Target: 54.90 C, Output: 255
Time: 36.91 s, dT: 0.1000 s, Temp: 25.45 C, Target: 54.95 C, Output: 255
Time: 37.01 s, dT: 0.1000 s, Temp: 25.41 C, Target: 55.00 C, Output: 255
Time: 37.11 s, dT: 0.1000 s, Temp: 25.41 C, Target: 55.04 C, Output: 255
Time: 37.21 s, dT: 0.1000 s, Temp: 25.44 C, Target: 55.09 C, Output: 255
Time: 37.31 s, dT: 0.1000 s, Temp: 25.43 C, Target: 55.13 C, Output: 255
Time: 37.41 s, dT: 0.1000 s, Temp: 25.46 C, Target: 55.18 C, Output: 255
Time: 37.51 s, dT: 0.1000 s, Temp: 25.44 C, Target: 55.23 C, Output: 255
Time: 37.61 s, dT: 0.1000 s, Temp: 25.44 C, Target: 55.27 C, Output: 255
Time: 37.71 s, dT: 0.1000 s, Temp: 25.41 C, Target: 55.32 C, Output: 255
Time: 37.81 s, dT: 0.1000 s, Temp: 25.43 C, Target: 55.37 C, Output: 255
Time: 37.91 s, dT: 0.1000 s, Temp: 25.44 C, Target: 55.41 C, Output: 255
Time: 38.01 s, dT: 0.1000 s, Temp: 25.44 C, Target: 55.46 C, Output: 255
Time: 38.11 s, dT: 0.1000 s, Temp: 25.50 C, Target: 55.50 C, Output: 255
Time: 38.21 s, dT: 0.1000 s, Temp: 25.43 C, Target: 55.55 C, Output: 255
Time: 38.31 s, dT: 0.1000 s, Temp: 25.43 C, Target: 55.60 C, Output: 255
Time: 38.41 s, dT: 0.1000 s, Temp: 25.52 C, Target: 55.64 C, Output: 255
Time: 38.51 s, dT: 0.1000 s, Temp: 25.37 C, Target: 55.69 C, Output: 255
Time: 38.61 s, dT: 0.1000 s, Temp: 25.37 C, Target: 55.74 C, Output: 255
Time: 38.71 s, dT: 0.1000 s, Temp: 25.39 C, Target: 55.78 C, Output: 255
Time: 38.81 s, dT: 0.1000 s, Temp: 25.44 C, Target: 55.83 C, Output: 255
Time: 38.91 s, dT: 0.1000 s, Temp: 25.45 C, Target: 55.87 C, Output: 255
Time: 39.01 s, dT: 0.1000 s, Temp: 25.38 C, Target: 55.92 C, Output: 255
Time: 39.11 s, dT: 0.1000 s, Temp: 25.39 C, Target: 55.97 C, Output: 255
Time: 39.21 s, dT: 0.1000 s, Temp: 25.38 C, Target: 56.01 C, Output: 255
Time: 39.31 s, dT: 0.1000 s, Temp: 25.41 C, Target: 56.06 C, Output: 255
Time: 39.41 s, dT: 0.1000 s, Temp: 25.41 C, Target: 56.11 C, Output: 255
Time: 39.51 s, dT: 0.1000 s, Temp: 25.45 C, Target: 56.15 C, Output: 255
Time: 39.61 s, dT: 0.1000 s, Temp: 25.45 C, Target: 56.20 C, Output: 255
Time: 39.71 s, dT: 0.1000 s, Temp: 25.45 C, Target: 56.24 C, Output: 255
Time: 39.81 s, dT: 0.1000 s, Temp: 25.44 C, Target: 56.29 C, Output: 255
Time: 39.91 s, dT: 0.1000 s, Temp: 25.41 C, Target: 56.34 C, Output: 255
Time: 40.01 s, dT: 0.1000 s, Temp: 25.45 C, Target: 56.38 C, Output: 255
Time: 40.11 s, dT: 0.1000 s, Temp: 25.48 C, Target: 56.43 C, Output: 255
Time: 40.21 s, dT: 0.1000 s, Temp: 25.37 C, Target: 56.48 C, Output: 255
Time: 40.31 s, dT: 0.1000 s, Temp: 25.46 C, Target: 56.52 C, Output: 255
Time: 40.41 s, dT: 0.1000 s, Temp: 25.49 C, Target: 56.57 C, Output: 255
Time: 40.51 s, dT: 0.1000 s, Temp: 25.54 C, Target: 56.61 C, Output: 255
Time: 40.61 s, dT: 0.1000 s, Temp: 25.46 C, Target: 56.66 C, Output: 255
Time: 40.71 s, dT: 0.1000 s, Temp: 25.43 C, Target: 56.71 C, Output: 255
Time: 40.81 s, dT: 0.1000 s, Temp: 25.44 C, Target: 56.75 C, Output: 255
Time: 40.91 s, dT: 0.1000 s, Temp: 25.44 C, Target: 56.80 C, Output: 255
Time: 41.01 s, dT: 0.1000 s, Temp: 25.46 C, Target: 56.85 C, Output: 255
Time: 41.11 s, dT: 0.1000 s, Temp: 25.52 C, Target: 56.89 C, Output: 255
Time: 41.21 s, dT: 0.1000 s, Temp: 25.49 C, Target: 56.94 C, Output: 255
Time: 41.31 s, dT: 0.1000 s, Temp: 25.49 C, Target: 56.98 C, Output: 255
Time: 41.41 s, dT: 0.1000 s, Temp: 25.49 C, Target: 57.03 C, Output: 255
Time: 41.51 s, dT: 0.1000 s, Temp: 25.52 C, Target: 57.08 C, Output: 255
Time: 41.61 s, dT: 0.1000 s, Temp: 25.55 C, Target: 57.12 C, Output: 255
Time: 41.71 s, dT: 0.1000 s, Temp: 25.57 C, Target: 57.17 C, Output: 255
Time: 41.81 s, dT: 0.1000 s, Temp: 25.55 C, Target: 57.22 C, Output: 255
Time: 41.91 s, dT: 0.1000 s, Temp: 25.48 C, Target: 57.26 C, Output: 255
Time: 42.01 s, dT: 0.1000 s, Temp: 25.52 C, Target: 57.31 C, Output: 255
Time: 42.11 s, dT: 0.1000 s, Temp: 25.52 C, Target: 57.35 C, Output: 255
Time: 42.21 s, dT: 0.1000 s, Temp: 25.50 C, Target: 57.40 C, Output: 255
Time: 42.31 s, dT: 0.1000 s, Temp: 25.52 C, Target: 57.45 C, Output: 255
Time: 42.41 s, dT: 0.1000 s, Temp: 25.52 C, Target: 57.49 C, Output: 255
Time: 42.51 s, dT: 0.1000 s, Temp: 25.52 C, Target: 57.54 C, Output: 255
Time: 42.61 s, dT: 0.1000 s, Temp: 25.52 C, Target: 57.59 C, Output: 255
Time: 42.71 s, dT: 0.1000 s, Temp: 25.54 C, Target: 57.63 C, Output: 255
Time: 42.81 s, dT: 0.1000 s, Temp: 25.50 C, Target: 57.68 C, Output: 255
Time: 42.91 s, dT: 0.1000 s, Temp: 25.56 C, Target: 57.72 C, Output: 255
Time: 43.01 s, dT: 0.1000 s, Temp: 25.52 C, Target: 57.77 C, Output: 255
Time: 43.11 s, dT: 0.1000 s, Temp: 25.56 C, Target: 57.82 C, Output: 255
Time: 43.21 s, dT: 0.1000 s, Temp: 25.60 C, Target: 57.86 C, Output: 255
Time: 43.31 s, dT: 0.1000 s, Temp: 25.50 C, Target: 57.91 C, Output: 255
