Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Time: 9.50 s, dT: 0.1000 s, Temp: 24.42 C, Target: 50.60 C, Output: 255
Time: 9.60 s, dT: 0.1000 s, Temp: 24.42 C, Target: 50.65 C, Output: 255
Time: 9.70 s, dT: 0.1000 s, Temp: 24.42 C, Target: 50.69 C, Output: 255
Time: 9.80 s, dT: 0.1000 s, Temp: 24.40 C, Target: 50.74 C, Output: 255
Time: 9.90 s, dT: 0.1000 s, Temp: 24.35 C, Target: 50.79 C, Output: 255
Time: 10.00 s, dT: 0.1000 s, Temp: 24.46 C, Target: 50.83 C, Output: 255
Time: 10.10 s, dT: 0.1000 s, Temp: 24.45 C, Target: 50.88 C, Output: 255
Time: 10.20 s, dT: 0.1000 s, Temp: 24.46 C, Target: 50.93 C, Output: 255
Time: 10.30 s, dT: 0.1000 s, Temp: 24.44 C, Target: 50.97 C, Output: 255
Time: 10.40 s, dT: 0.1000 s, Temp: 24.41 C, Target: 51.02 C, Output: 255
Time: 10.50 s, dT: 0.1000 s, Temp: 24.52 C, Target: 51.06 C, Output: 255
Time: 10.60 s, dT: 0.1000 s, Temp: 24.47 C, Target: 51.11 C, Output: 255
Time: 10.70 s, dT: 0.1000 s, Temp: 24.46 C, Target: 51.16 C, Output: 255
Time: 10.80 s, dT: 0.1000 s, Temp: 24.45 C, Target: 51.20 C, Output: 255
Time: 10.90 s, dT: 0.1000 s, Temp: 24.46 C, Target: 51.25 C, Output: 255
Time: 11.00 s, dT: 0.1000 s, Temp: 24.47 C, Target: 51.30 C, Output: 255
Time: 11.10 s, dT: 0.1000 s, Temp: 24.44 C, Target: 51.34 C, Output: 255
Time: 11.20 s, dT: 0.1000 s, Temp: 24.48 C, Target: 51.39 C, Output: 255
Time: 11.30 s, dT: 0.1000 s, Temp: 24.36 C, Target: 51.43 C, Output: 255
Time: 11.40 s, dT: 0.1000 s, Temp: 24.48 C, Target: 51.48 C, Output: 255
Time: 11.50 s, dT: 0.1000 s, Temp: 24.38 C, Target: 51.53 C, Output: 255
Time: 11.60 s, dT: 0.1000 s, Temp: 24.41 C, Target: 51.57 C, Output: 255
Time: 11.71 s, dT: 0.1010 s, Temp: 24.41 C, Target: 51.62 C, Output: 255
Time: 11.81 s, dT: 0.1010 s, Temp: 24.42 C, Target: 51.67 C, Output: 255
Time: 11.91 s, dT: 0.1010 s, Temp: 24.47 C, Target: 51.71 C, Output: 255
Time: 12.01 s, dT: 0.1000 s, Temp: 24.41 C, Target: 51.76 C, Output: 255
Time: 12.11 s, dT: 0.1000 s, Temp: 24.38 C, Target: 51.81 C, Output: 255
Time: 12.21 s, dT: 0.1000 s, Temp: 24.40 C, Target: 51.85 C, Output: 255
Time: 12.31 s, dT: 0.1000 s, Temp: 24.40 C, Target: 51.90 C, Output: 255
Time: 12.41 s, dT: 0.1000 s, Temp: 24.40 C, Target: 51.94 C, Output: 255
Time: 12.51 s, dT: 0.1000 s, Temp: 24.45 C, Target: 51.99 C, Output: 255
Time: 12.61 s, dT: 0.1000 s, Temp: 24.42 C, Target: 52.04 C, Output: 255
Time: 12.71 s, dT: 0.1000 s, Temp: 24.42 C, Target: 52.08 C, Output: 255
Time: 12.81 s, dT: 0.1000 s, Temp: 24.47 C, Target: 52.13 C, Output: 255
Time: 12.91 s, dT: 0.1000 s, Temp: 24.38 C, Target: 52.18 C, Output: 255
Time: 13.01 s, dT: 0.1000 s, Temp: 24.41 C, Target: 52.22 C, Output: 255
Time: 13.11 s, dT: 0.1000 s, Temp: 24.38 C, Target: 52.27 C, Output: 255
Time: 13.21 s, dT: 0.1010 s, Temp: 24.48 C, Target: 52.32 C, Output: 255
Time: 13.31 s, dT: 0.1010 s, Temp: 24.38 C, Target: 52.36 C, Output: 255
Time: 13.41 s, dT: 0.1010 s, Temp: 24.44 C, Target: 52.41 C, Output: 255
Time: 13.51 s, dT: 0.1010 s, Temp: 24.41 C, Target: 52.46 C, Output: 255
Time: 13.61 s, dT: 0.1000 s, Temp: 24.45 C, Target: 52.50 C, Output: 255
Time: 13.71 s, dT: 0.1000 s, Temp: 24.42 C, Target: 52.55 C, Output: 255
Time: 13.81 s, dT: 0.1000 s, Temp: 24.46 C, Target: 52.59 C, Output: 255
Time: 13.91 s, dT: 0.1000 s, Temp: 24.46 C, Target: 52.64 C, Output: 255
Time: 14.01 s, dT: 0.1000 s, Temp: 24.46 C, Target: 52.69 C, Output: 255
Time: 14.11 s, dT: 0.1000 s, Temp: 24.42 C, Target: 52.73 C, Output: 255
Time: 14.21 s, dT: 0.1000 s, Temp: 24.42 C, Target: 52.78 C, Output: 255
Time: 14.31 s, dT: 0.1000 s, Temp: 24.46 C, Target: 52.83 C, Output: 255
Time: 14.41 s, dT: 0.1000 s, Temp: 24.41 C, Target: 52.87 C, Output: 255
Time: 14.51 s, dT: 0.1000 s, Temp: 24.49 C, Target: 52.92 C, Output: 255
Time: 14.61 s, dT: 0.1000 s, Temp: 24.52 C, Target: 52.96 C, Output: 255
Time: 14.71 s, dT: 0.1000 s, Temp: 24.55 C, Target: 53.01 C, Output: 255
Time: 14.81 s, dT: 0.1000 s, Temp: 24.55 C, Target: 53.06 C, Output: 255
Time: 14.91 s, dT: 0.1000 s, Temp: 24.44 C, Target: 53.10 C, Output: 255
Time: 15.01 s, dT: 0.1000 s, Temp: 24.49 C, Target: 53.15 C, Output: 255
Time: 15.11 s, dT: 0.1000 s, Temp: 24.38 C, Target: 53.20 C, Output: 255
Time: 15.21 s, dT: 0.1000 s, Temp: 24.44 C, Target: 53.24 C, Output: 255
Time: 15.31 s, dT: 0.1000 s, Temp: 24.45 C, Target: 53.29 C, Output: 255
Time: 15.41 s, dT: 0.1000 s, Temp: 24.41 C, Target: 53.33 C, Output: 255
Time: 15.51 s, dT: 0.1000 s, Temp: 24.49 C, Target: 53.38 C, Output: 255
Time: 15.61 s, dT: 0.1000 s, Temp: 24.49 C, Target: 53.43 C, Output: 255
Time: 15.71 s, dT: 0.1000 s, Temp: 24.55 C, Target: 53.47 C, Output: 255
Time: 15.81 s, dT: 0.1000 s, Temp: 24.52 C, Target: 53.52 C, Output: 255
Time: 15.91 s, dT: 0.1000 s, Temp: 24.55 C, Target: 53.57 C, Output: 255
Time: 16.01 s, dT: 0.1000 s, Temp: 24.55 C, Target: 53.61 C, Output: 255
Time: 16.11 s, dT: 0.1000 s, Temp: 24.66 C, Target: 53.66 C, Output: 255
Time: 16.21 s, dT: 0.1000 s, Temp: 24.57 C, Target: 53.70 C, Output: 255
Time: 16.31 s, dT: 0.1000 s, Temp: 24.58 C, Target: 53.75 C, Output: 255
Time: 16.41 s, dT: 0.1000 s, Temp: 24.55 C, Target: 53.80 C, Output: 255
Time: 16.51 s, dT: 0.1000 s, Temp: 24.59 C, Target: 53.84 C, Output: 255
Time: 16.61 s, dT: 0.1000 s, Temp: 24.58 C, Target: 53.89 C, Output: 255
Time: 16.71 s, dT: 0.1000 s, Temp: 24.57 C, Target: 53.94 C, Output: 255
Time: 16.81 s, dT: 0.1000 s, Temp: 24.59 C, Target: 53.98 C, Output: 255
Time: 16.91 s, dT: 0.1000 s, Temp: 24.57 C, Target: 54.03 C, Output: 255
Time: 17.01 s, dT: 0.1000 s, Temp: 24.64 C, Target: 54.07 C, Output: 255
Time: 17.11 s, dT: 0.1000 s, Temp: 24.63 C, Target: 54.12 C, Output: 255
Time: 17.21 s, dT: 0.1000 s, Temp: 24.66 C, Target: 54.17 C, Output: 255
Time: 17.31 s, dT: 0.1000 s, Temp: 24.62 C, Target: 54.21 C, Output: 255
Time: 17.41 s, dT: 0.1000 s, Temp: 24.63 C, Target: 54.26 C, Output: 255
Time: 17.51 s, dT: 0.1000 s, Temp: 24.73 C, Target: 54.31 C, Output: 255
Time: 17.61 s, dT: 0.1000 s, Temp: 24.84 C, Target: 54.35 C, Output: 255
Time: 17.71 s, dT: 0.1000 s, Temp: 24.88 C, Target: 54.40 C, Output: 255
Time: 17.81 s, dT: 0.1010 s, Temp: 24.79 C, Target: 54.44 C, Output: 255
Time: 17.91 s, dT: 0.1010 s, Temp: 24.88 C, Target: 54.49 C, Output: 255
Time: 18.01 s, dT: 0.1000 s, Temp: 24.88 C, Target: 54.54 C, Output: 255
Time: 18.11 s, dT: 0.1000 s, Temp: 24.89 C, Target: 54.58 C, Output: 255
Time: 18.21 s, dT: 0.1000 s, Temp: 24.91 C, Target: 54.63 C, Output: 255
Time: 18.31 s, dT: 0.1000 s, Temp: 24.91 C, Target: 54.68 C, Output: 255
Time: 18.41 s, dT: 0.1000 s, Temp: 24.91 C, Target: 54.72 C, Output: 255
Time: 18.51 s, dT: 0.1000 s, Temp: 24.94 C, Target: 54.77 C, Output: 255
Time: 18.61 s, dT: 0.1000 s, Temp: 25.06 C, Target: 54.82 C, Output: 255
Time: 18.71 s, dT: 0.1000 s, Temp: 25.06 C, Target: 54.86 C, Output: 255
Time: 18.81 s, dT: 0.1000 s, Temp: 25.05 C, Target: 54.91 C, Output: 255
Time: 18.91 s, dT: 0.1000 s, Temp: 25.12 C, Target: 54.95 C, Output: 255
Time: 19.01 s, dT: 0.1000 s, Temp: 25.12 C, Target: 55.00 C, Output: 255
Time: 19.11 s, dT: 0.1010 s, Temp: 25.16 C, Target: 55.05 C, Output: 255
Time: 19.21 s, dT: 0.1010 s, Temp: 25.17 C, Target: 55.09 C, Output: 255
Time: 19.32 s, dT: 0.1000 s, Temp: 25.30 C, Target: 55.14 C, Output: 255
Time: 19.42 s, dT: 0.1010 s, Temp: 25.27 C, Target: 55.19 C, Output: 255
Time: 19.52 s, dT: 0.1000 s, Temp: 25.33 C, Target: 55.23 C, Output: 255
Time: 19.62 s, dT: 0.1000 s, Temp: 25.39 C, Target: 55.28 C, Output: 255
Time: 19.72 s, dT: 0.1000 s, Temp: 25.46 C, Target: 55.33 C, Output: 255
Time: 19.82 s, dT: 0.1000 s, Temp: 25.52 C, Target: 55.37 C, Output: 255
Time: 19.92 s, dT: 0.1000 s, Temp: 25.55 C, Target: 55.42 C, Output: 255
Time: 20.02 s, dT: 0.1000 s, Temp: 25.54 C, Target: 55.46 C, Output: 255
Time: 20.12 s, dT: 0.1000 s, Temp: 25.60 C, Target: 55.51 C, Output: 255
Time: 20.22 s, dT: 0.1000 s, Temp: 25.68 C, Target: 55.56 C, Output: 255
Time: 20.32 s, dT: 0.1000 s, Temp: 25.71 C, Target: 55.60 C, Output: 255
Time: 20.42 s, dT: 0.1000 s, Temp: 25.75 C, Target: 55.65 C, Output: 255
Time: 20.52 s, dT: 0.1000 s, Temp: 25.88 C, Target: 55.70 C, Output: 255
Time: 20.62 s, dT: 0.1000 s, Temp: 25.94 C, Target: 55.74 C, Output: 255
Time: 20.72 s, dT: 0.1000 s, Temp: 25.95 C, Target: 55.79 C, Output: 255
Time: 20.82 s, dT: 0.1000 s, Temp: 25.99 C, Target: 55.83 C, Output: 255
Time: 20.92 s, dT: 0.1000 s, Temp: 26.07 C, Target: 55.88 C, Output: 255
Time: 21.02 s, dT: 0.1000 s, Temp: 26.12 C, Target: 55.93 C, Output: 255
Time: 21.12 s, dT: 0.1000 s, Temp: 26.18 C, Target: 55.97 C, Output: 255
Time: 21.22 s, dT: 0.1000 s, Temp: 26.29 C, Target: 56.02 C, Output: 255
Time: 21.32 s, dT: 0.1000 s, Temp: 26.27 C, Target: 56.07 C, Output: 255
Time: 21.42 s, dT: 0.1000 s, Temp: 26.34 C, Target: 56.11 C, Output: 255
Time: 21.52 s, dT: 0.1000 s, Temp: 26.44 C, Target: 56.16 C, Output: 255
Time: 21.62 s, dT: 0.1000 s, Temp: 26.48 C, Target: 56.20 C, Output: 255
Time: 21.72 s, dT: 0.1000 s, Temp: 26.50 C, Target: 56.25 C, Output: 255
Time: 21.82 s, dT: 0.1000 s, Temp: 26.56 C, Target: 56.30 C, Output: 255
Time: 21.92 s, dT: 0.1000 s, Temp: 26.72 C, Target: 56.34 C, Output: 255
Time: 22.02 s, dT: 0.1000 s, Temp: 26.81 C, Target: 56.39 C, Output: 255
Time: 22.12 s, dT: 0.1000 s, Temp: 26.89 C, Target: 56.44 C, Output: 255
Time: 22.22 s, dT: 0.1000 s, Temp: 26.93 C, Target: 56.48 C, Output: 255
Time: 22.32 s, dT: 0.1000 s, Temp: 26.94 C, Target: 56.53 C, Output: 255
Time: 22.42 s, dT: 0.1000 s, Temp: 27.06 C, Target: 56.57 C, Output: 255
Time: 22.52 s, dT: 0.1000 s, Temp: 27.20 C, Target: 56.62 C, Output: 255
Time: 22.62 s, dT: 0.1000 s, Temp: 27.27 C, Target: 56.67 C, Output: 255
Time: 22.72 s, dT: 0.1000 s, Temp: 27.36 C, Target: 56.71 C, Output: 255
Time: 22.82 s, dT: 0.1000 s, Temp: 27.32 C, Target: 56.76 C, Output: 255
Time: 22.92 s, dT: 0.1000 s, Temp: 27.53 C, Target: 56.81 C, Output: 255
Time: 23.02 s, dT: 0.1000 s, Temp: 27.53 C, Target: 56.85 C, Output: 255
Time: 23.12 s, dT: 0.1000 s, Temp: 27.64 C, Target: 56.90 C, Output: 255
Time: 23.22 s, dT: 0.1000 s, Temp: 27.62 C, Target: 56.94 C, Output: 255
Time: 23.32 s, dT: 0.1000 s, Temp: 27.62 C, Target: 56.99 C, Output: 255
Time: 23.42 s, dT: 0.1000 s, Temp: 27.81 C, Target: 57.04 C, Output: 255
Time: 23.52 s, dT: 0.1010 s, Temp: 27.94 C, Target: 57.08 C, Output: 255
Time: 23.62 s, dT: 0.1000 s, Temp: 28.05 C, Target: 57.13 C, Output: 255
Time: 23.72 s, dT: 0.1000 s, Temp: 28.05 C, Target: 57.18 C, Output: 255
Time: 23.82 s, dT: 0.1000 s, Temp: 28.01 C, Target: 57.22 C, Output: 255
Time: 23.92 s, dT: 0.1000 s, Temp: 28.16 C, Target: 57.27 C, Output: 255
Time: 24.02 s, dT: 0.1000 s, Temp: 28.23 C, Target: 57.31 C, Output: 255
Time: 24.12 s, dT: 0.1000 s, Temp: 28.31 C, Target: 57.36 C, Output: 255
Time: 24.22 s, dT: 0.1000 s, Temp: 28.42 C, Target: 57.41 C, Output: 255
Time: 24.32 s, dT: 0.1000 s, Temp: 28.48 C, Target: 57.45 C, Output: 255
Time: 24.42 s, dT: 0.1000 s, Temp: 28.56 C, Target: 57.50 C, Output: 255
Time: 24.52 s, dT: 0.1000 s, Temp: 28.62 C, Target: 57.55 C, Output: 255
Time: 24.62 s, dT: 0.1000 s, Temp: 28.80 C, Target: 57.59 C, Output: 255
Time: 24.72 s, dT: 0.1010 s, Temp: 28.78 C, Target: 57.64 C, Output: 255
Time: 24.82 s, dT: 0.1000 s, Temp: 28.99 C, Target: 57.68 C, Output: 255
Time: 24.92 s, dT: 0.1000 s, Temp: 29.02 C, Target: 57.73 C, Output: 255
Time: 25.02 s, dT: 0.1000 s, Temp: 29.18 C, Target: 57.78 C, Output: 255
Time: 25.12 s, dT: 0.1000 s, Temp: 29.23 C, Target: 57.82 C, Output: 255
Time: 25.22 s, dT: 0.1000 s, Temp: 29.27 C, Target: 57.87 C, Output: 255
Time: 25.32 s, dT: 0.1000 s, Temp: 29.45 C, Target: 57.92 C, Output: 255
Time: 25.42 s, dT: 0.1000 s, Temp: 29.54 C, Target: 57.96 C, Output: 255
Time: 25.52 s, dT: 0.1000 s, Temp: 29.65 C, Target: 58.01 C, Output: 255
Time: 25.62 s, dT: 0.1000 s, Temp: 29.74 C, Target: 58.05 C, Output: 255
Time: 25.72 s, dT: 0.1000 s, Temp: 29.81 C, Target: 58.10 C, Output: 255
Time: 25.82 s, dT: 0.1000 s, Temp: 30.02 C, Target: 58.15 C, Output: 255
Time: 25.92 s, dT: 0.1000 s, Temp: 30.12 C, Target: 58.19 C, Output: 255
Time: 26.02 s, dT: 0.1010 s, Temp: 30.20 C, Target: 58.24 C, Output: 255
Time: 26.12 s, dT: 0.1010 s, Temp: 30.28 C, Target: 58.29 C, Output: 255
Time: 26.22 s, dT: 0.1000 s, Temp: 30.37 C, Target: 58.33 C, Output: 255
Time: 26.32 s, dT: 0.1000 s, Temp: 30.50 C, Target: 58.38 C, Output: 255
Time: 26.42 s, dT: 0.1000 s, Temp: 30.53 C, Target: 58.43 C, Output: 255
Time: 26.52 s, dT: 0.1000 s, Temp: 30.66 C, Target: 58.47 C, Output: 255
Time: 26.62 s, dT: 0.1000 s, Temp: 30.71 C, Target: 58.52 C, Output: 255
Time: 26.72 s, dT: 0.1000 s, Temp: 30.87 C, Target: 58.56 C, Output: 255
Time: 26.82 s, dT: 0.1000 s, Temp: 31.04 C, Target: 58.61 C, Output: 255
Time: 26.92 s, dT: 0.1000 s, Temp: 31.11 C, Target: 58.66 C, Output: 255
Time: 27.02 s, dT: 0.1000 s, Temp: 31.26 C, Target: 58.70 C, Output: 255
Time: 27.12 s, dT: 0.1000 s, Temp: 31.27 C, Target: 58.75 C, Output: 255
Time: 27.22 s, dT: 0.1000 s, Temp: 31.49 C, Target: 58.80 C, Output: 255
Time: 27.32 s, dT: 0.1000 s, Temp: 31.60 C, Target: 58.84 C, Output: 255
Time: 27.42 s, dT: 0.1000 s, Temp: 31.71 C, Target: 58.89 C, Output: 255
Time: 27.52 s, dT: 0.1000 s, Temp: 31.77 C, Target: 58.93 C, Output: 255
Time: 27.62 s, dT: 0.1000 s, Temp: 31.80 C, Target: 58.98 C, Output: 255
Time: 27.72 s, dT: 0.1000 s, Temp: 32.16 C, Target: 59.03 C, Output: 255
Time: 27.82 s, dT: 0.1000 s, Temp: 32.27 C, Target: 59.07 C, Output: 255
Time: 27.92 s, dT: 0.1000 s, Temp: 32.56 C, Target: 59.12 C, Output: 255
Time: 28.02 s, dT: 0.1000 s, Temp: 32.63 C, Target: 59.17 C, Output: 255
Time: 28.12 s, dT: 0.1000 s, Temp: 32.74 C, Target: 59.21 C, Output: 255
Time: 28.22 s, dT: 0.1000 s, Temp: 32.97 C, Target: 59.26 C, Output: 255
Time: 28.32 s, dT: 0.1000 s, Temp: 33.03 C, Target: 59.30 C, Output: 255
Time: 28.42 s, dT: 0.1000 s, Temp: 33.20 C, Target: 59.35 C, Output: 255
Time: 28.52 s, dT: 0.1000 s, Temp: 33.41 C, Target: 59.40 C, Output: 255
Time: 28.62 s, dT: 0.1000 s, Temp: 33.57 C, Target: 59.44 C, Output: 255
Time: 28.72 s, dT: 0.1000 s, Temp: 33.91 C, Target: 59.49 C, Output: 255
Time: 28.82 s, dT: 0.1000 s, Temp: 34.00 C, Target: 59.54 C, Output: 255
Time: 28.92 s, dT: 0.1000 s, Temp: 34.16 C, Target: 59.58 C, Output: 255
Time: 29.02 s, dT: 0.1000 s, Temp: 34.34 C, Target: 59.63 C, Output: 255
Time: 29.12 s, dT: 0.1000 s, Temp: 34.53 C, Target: 59.67 C, Output: 255
Time: 29.22 s, dT: 0.1000 s, Temp: 34.78 C, Target: 59.72 C, Output: 255
Time: 29.32 s, dT: 0.1000 s, Temp: 34.94 C, Target: 59.77 C, Output: 255
Time: 29.42 s, dT: 0.1000 s, Temp: 35.28 C, Target: 59.81 C, Output: 255
Time: 29.52 s, dT: 0.1000 s, Temp: 35.55 C, Target: 59.86 C, Output: 255
Time: 29.62 s, dT: 0.1000 s, Temp: 35.78 C, Target: 59.91 C, Output: 255
Time: 29.72 s, dT: 0.1000 s, Temp: 36.10 C, Target: 59.95 C, Output: 255
Time: 29.82 s, dT: 0.1000 s, Temp: 36.27 C, Target: 60.00 C, Output: 255
Time: 29.92 s, dT: 0.1000 s, Temp: 36.44 C, Target: 60.04 C, Output: 255
Time: 30.02 s, dT: 0.1000 s, Temp: 36.59 C, Target: 60.09 C, Output: 255
Time: 30.12 s, dT: 0.1000 s, Temp: 36.77 C, Target: 60.14 C, Output: 255
Time: 30.22 s, dT: 0.1000 s, Temp: 37.06 C, Target: 60.18 C, Output: 255
Time: 30.32 s, dT: 0.1000 s, Temp: 37.23 C, Target: 60.23 C, Output: 255
Time: 30.42 s, dT: 0.1000 s, Temp: 37.34 C, Target: 60.28 C, Output: 255
Time: 30.52 s, dT: 0.1000 s, Temp: 37.56 C, Target: 60.32 C, Output: 255
Time: 30.62 s, dT: 0.1000 s, Temp: 37.74 C, Target: 60.37 C, Output: 255
Time: 30.72 s, dT: 0.1000 s, Temp: 38.22 C, Target: 60.41 C, Output: 255
Time: 30.82 s, dT: 0.1000 s, Temp: 38.49 C, Target: 60.46 C, Output: 255
Time: 30.92 s, dT: 0.1000 s, Temp: 38.78 C, Target: 60.51 C, Output: 255
Time: 31.02 s, dT: 0.1000 s, Temp: 39.05 C, Target: 60.55 C, Output: 255
Time: 31.12 s, dT: 0.1000 s, Temp: 39.51 C, Target: 60.60 C, Output: 255
Time: 31.22 s, dT: 0.1000 s, Temp: 39.68 C, Target: 60.65 C, Output: 255
Time: 31.32 s, dT: 0.1000 s, Temp: 39.89 C, Target: 60.69 C, Output: 255
Time: 31.42 s, dT: 0.1000 s, Temp: 40.03 C, Target: 60.74 C, Output: 255
Time: 31.52 s, dT: 0.1000 s, Temp: 40.30 C, Target: 60.78 C, Output: 255
