Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
0 s, Temp: 25.38 C, Target: 0.00 C, Output: 0
Time: 40.40 s, dT: 0.1000 s, Temp: 25.30 C, Target: 0.00 C, Output: 0
Time: 40.50 s, dT: 0.1000 s, Temp: 25.30 C, Target: 0.00 C, Output: 0
Time: 40.60 s, dT: 0.1000 s, Temp: 25.30 C, Target: 0.00 C, Output: 0
Time: 40.70 s, dT: 0.1000 s, Temp: 25.30 C, Target: 0.00 C, Output: 0
Time: 40.80 s, dT: 0.1000 s, Temp: 25.30 C, Target: 0.00 C, Output: 0
Time: 40.90 s, dT: 0.1000 s, Temp: 25.37 C, Target: 0.00 C, Output: 0
Time: 41.00 s, dT: 0.1000 s, Temp: 25.38 C, Target: 0.00 C, Output: 0
Time: 41.10 s, dT: 0.1000 s, Temp: 25.33 C, Target: 0.00 C, Output: 0
Time: 41.20 s, dT: 0.1000 s, Temp: 25.35 C, Target: 0.00 C, Output: 0
Time: 41.30 s, dT: 0.1000 s, Temp: 25.37 C, Target: 0.00 C, Output: 0
Time: 41.40 s, dT: 0.1000 s, Temp: 25.37 C, Target: 0.00 C, Output: 0
Time: 41.50 s, dT: 0.1000 s, Temp: 25.32 C, Target: 0.00 C, Output: 0
Time: 41.60 s, dT: 0.1000 s, Temp: 25.39 C, Target: 0.00 C, Output: 0
Time: 41.70 s, dT: 0.1000 s, Temp: 25.39 C, Target: 0.00 C, Output: 0
Time: 41.80 s, dT: 0.1000 s, Temp: 25.35 C, Target: 0.00 C, Output: 0
Time: 41.90 s, dT: 0.1000 s, Temp: 25.26 C, Target: 0.00 C, Output: 0
Time: 42.00 s, dT: 0.1000 s, Temp: 25.38 C, Target: 0.00 C, Output: 0
Time: 42.10 s, dT: 0.1000 s, Temp: 25.45 C, Target: 0.00 C, Output: 0
Time: 42.20 s, dT: 0.1000 s, Temp: 25.35 C, Target: 0.00 C, Output: 0
Time: 42.30 s, dT: 0.1000 s, Temp: 25.41 C, Target: 0.00 C, Output: 0
Time: 42.40 s, dT: 0.1000 s, Temp: 25.41 C, Target: 0.00 C, Output: 0
Time: 42.50 s, dT: 0.1000 s, Temp: 25.37 C, Target: 0.00 C, Output: 0
Time: 42.60 s, dT: 0.1000 s, Temp: 25.41 C, Target: 0.00 C, Output: 0
Reflow started
Time: 42.70 s, dT: 0.1000 s, Temp: 25.32 C, Target: 50.00 C, Output: 241
Time: 42.80 s, dT: 0.1010 s, Temp: 25.35 C, Target: 50.05 C, Output: 255
Time: 42.90 s, dT: 0.1000 s, Temp: 25.34 C, Target: 50.09 C, Output: 255
Time: 43.00 s, dT: 0.1000 s, Temp: 25.38 C, Target: 50.14 C, Output: 255
Time: 43.10 s, dT: 0.1000 s, Temp: 25.41 C, Target: 50.19 C, Output: 255
Time: 43.20 s, dT: 0.1000 s, Temp: 25.41 C, Target: 50.23 C, Output: 255
Time: 43.30 s, dT: 0.1000 s, Temp: 25.28 C, Target: 50.28 C, Output: 255
Time: 43.40 s, dT: 0.1000 s, Temp: 25.32 C, Target: 50.32 C, Output: 255
Time: 43.50 s, dT: 0.1000 s, Temp: 25.41 C, Target: 50.37 C, Output: 255
Time: 43.60 s, dT: 0.1000 s, Temp: 25.41 C, Target: 50.42 C, Output: 255
Time: 43.70 s, dT: 0.1000 s, Temp: 25.39 C, Target: 50.46 C, Output: 255
Time: 43.80 s, dT: 0.1000 s, Temp: 25.37 C, Target: 50.51 C, Output: 255
Time: 43.90 s, dT: 0.1000 s, Temp: 25.41 C, Target: 50.56 C, Output: 255
Time: 44.00 s, dT: 0.1000 s, Temp: 25.34 C, Target: 50.60 C, Output: 255
Time: 44.10 s, dT: 0.1000 s, Temp: 25.37 C, Target: 50.65 C, Output: 255
Time: 44.20 s, dT: 0.1000 s, Temp: 25.39 C, Target: 50.69 C, Output: 255
Time: 44.30 s, dT: 0.1000 s, Temp: 25.41 C, Target: 50.74 C, Output: 255
Time: 44.40 s, dT: 0.1000 s, Temp: 25.39 C, Target: 50.79 C, Output: 255
Time: 44.50 s, dT: 0.1000 s, Temp: 25.45 C, Target: 50.83 C, Output: 255
Time: 44.60 s, dT: 0.1000 s, Temp: 25.30 C, Target: 50.88 C, Output: 255
Time: 44.70 s, dT: 0.1000 s, Temp: 25.37 C, Target: 50.93 C, Output: 255
Time: 44.80 s, dT: 0.1000 s, Temp: 25.30 C, Target: 50.97 C, Output: 255
Time: 44.90 s, dT: 0.1000 s, Temp: 25.33 C, Target: 51.02 C, Output: 255
Time: 45.00 s, dT: 0.1000 s, Temp: 25.32 C, Target: 51.06 C, Output: 255
Time: 45.10 s, dT: 0.1000 s, Temp: 25.33 C, Target: 51.11 C, Output: 255
Time: 45.20 s, dT: 0.1000 s, Temp: 25.34 C, Target: 51.16 C, Output: 255
Time: 45.30 s, dT: 0.1000 s, Temp: 25.33 C, Target: 51.20 C, Output: 255
Time: 45.40 s, dT: 0.1000 s, Temp: 25.35 C, Target: 51.25 C, Output: 255
Time: 45.50 s, dT: 0.1000 s, Temp: 25.39 C, Target: 51.30 C, Output: 255
Time: 45.60 s, dT: 0.1000 s, Temp: 25.32 C, Target: 51.34 C, Output: 255
Time: 45.70 s, dT: 0.1000 s, Temp: 25.37 C, Target: 51.39 C, Output: 255
Time: 45.80 s, dT: 0.1000 s, Temp: 25.35 C, Target: 51.43 C, Output: 255
Time: 45.90 s, dT: 0.1000 s, Temp: 25.39 C, Target: 51.48 C, Output: 255
Time: 46.00 s, dT: 0.1000 s, Temp: 25.41 C, Target: 51.53 C, Output: 255
Time: 46.10 s, dT: 0.1000 s, Temp: 25.38 C, Target: 51.57 C, Output: 255
Time: 46.20 s, dT: 0.1000 s, Temp: 25.39 C, Target: 51.62 C, Output: 255
Time: 46.30 s, dT: 0.1000 s, Temp: 25.30 C, Target: 51.67 C, Output: 255
Time: 46.40 s, dT: 0.1000 s, Temp: 25.37 C, Target: 51.71 C, Output: 255
Time: 46.50 s, dT: 0.1000 s, Temp: 25.45 C, Target: 51.76 C, Output: 255
Time: 46.60 s, dT: 0.1000 s, Temp: 25.41 C, Target: 51.80 C, Output: 255
Time: 46.70 s, dT: 0.1000 s, Temp: 25.41 C, Target: 51.85 C, Output: 255
Time: 46.80 s, dT: 0.1000 s, Temp: 25.33 C, Target: 51.90 C, Output: 255
Time: 46.90 s, dT: 0.1000 s, Temp: 25.41 C, Target: 51.94 C, Output: 255
Time: 47.00 s, dT: 0.1000 s, Temp: 25.39 C, Target: 51.99 C, Output: 255
