Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: adafruit_feather_esp32s3_reversetft; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Reflow started
Time: 19.88 s, Temp: 59.20 C, Target: 55.63 C, Output: 0.00
Time: 20.14 s, Temp: 59.23 C, Target: 55.71 C, Output: 0.00
Time: 20.41 s, Temp: 59.23 C, Target: 55.78 C, Output: 0.00
Time: 20.67 s, Temp: 59.12 C, Target: 55.86 C, Output: 0.00
Time: 20.93 s, Temp: 59.16 C, Target: 55.93 C, Output: 0.00
Time: 21.20 s, Temp: 59.16 C, Target: 56.01 C, Output: 0.00
Time: 21.46 s, Temp: 59.12 C, Target: 56.08 C, Output: 0.00
Time: 21.72 s, Temp: 59.04 C, Target: 56.15 C, Output: 0.00
Time: 21.98 s, Temp: 59.16 C, Target: 56.23 C, Output: 0.00
Time: 22.25 s, Temp: 59.16 C, Target: 56.30 C, Output: 0.00
Time: 22.51 s, Temp: 59.09 C, Target: 56.38 C, Output: 0.00
Time: 22.77 s, Temp: 59.13 C, Target: 56.45 C, Output: 0.00
Time: 23.04 s, Temp: 59.11 C, Target: 56.53 C, Output: 0.00
Time: 23.30 s, Temp: 59.00 C, Target: 56.60 C, Output: 0.00
Time: 23.56 s, Temp: 59.11 C, Target: 56.68 C, Output: 0.00
Time: 23.83 s, Temp: 59.09 C, Target: 56.75 C, Output: 0.00
Time: 24.09 s, Temp: 59.07 C, Target: 56.82 C, Output: 0.00
Time: 24.35 s, Temp: 59.02 C, Target: 56.90 C, Output: 0.00
Time: 24.61 s, Temp: 59.00 C, Target: 56.97 C, Output: 0.00
Time: 24.88 s, Temp: 59.07 C, Target: 57.05 C, Output: 0.00
Time: 25.14 s, Temp: 59.06 C, Target: 57.12 C, Output: 0.00
Time: 25.40 s, Temp: 58.93 C, Target: 57.20 C, Output: 0.00
Time: 25.67 s, Temp: 58.99 C, Target: 57.27 C, Output: 0.00
Time: 25.93 s, Temp: 58.97 C, Target: 57.35 C, Output: 0.00
Time: 26.19 s, Temp: 58.88 C, Target: 57.42 C, Output: 0.00
Time: 26.46 s, Temp: 58.94 C, Target: 57.50 C, Output: 0.00
Time: 26.72 s, Temp: 58.93 C, Target: 57.57 C, Output: 0.00
Time: 26.98 s, Temp: 59.00 C, Target: 57.64 C, Output: 0.00
Time: 27.24 s, Temp: 58.88 C, Target: 57.72 C, Output: 0.00
Time: 27.51 s, Temp: 59.02 C, Target: 57.79 C, Output: 0.00
Time: 27.77 s, Temp: 58.89 C, Target: 57.87 C, Output: 0.00
Time: 28.03 s, Temp: 58.94 C, Target: 57.94 C, Output: 0.00
Time: 28.30 s, Temp: 58.81 C, Target: 58.02 C, Output: 0.00
Time: 28.56 s, Temp: 58.86 C, Target: 58.09 C, Output: 0.00
Time: 28.82 s, Temp: 58.84 C, Target: 58.17 C, Output: 0.00
Time: 29.08 s, Temp: 58.81 C, Target: 58.24 C, Output: 0.00
Time: 29.35 s, Temp: 58.84 C, Target: 58.32 C, Output: 0.00
Time: 29.61 s, Temp: 58.84 C, Target: 58.39 C, Output: 0.00
Time: 29.87 s, Temp: 58.81 C, Target: 58.46 C, Output: 0.00
Time: 30.14 s, Temp: 58.84 C, Target: 58.54 C, Output: 0.00
Time: 30.40 s, Temp: 58.79 C, Target: 58.61 C, Output: 0.00
Time: 30.66 s, Temp: 58.86 C, Target: 58.69 C, Output: 0.00
Time: 30.93 s, Temp: 58.79 C, Target: 58.76 C, Output: 0.17
Time: 31.19 s, Temp: 58.84 C, Target: 58.84 C, Output: 0.00
Time: 31.45 s, Temp: 58.86 C, Target: 58.91 C, Output: 0.81
Time: 31.71 s, Temp: 58.77 C, Target: 58.99 C, Output: 5.34
Time: 31.98 s, Temp: 58.70 C, Target: 59.06 C, Output: 7.77
Time: 32.24 s, Temp: 58.75 C, Target: 59.13 C, Output: 7.22
Time: 32.50 s, Temp: 58.70 C, Target: 59.21 C, Output: 10.59
Time: 32.77 s, Temp: 58.77 C, Target: 59.28 C, Output: 9.51
Time: 33.03 s, Temp: 58.74 C, Target: 59.36 C, Output: 12.64
Time: 33.29 s, Temp: 58.73 C, Target: 59.43 C, Output: 14.29
Time: 33.56 s, Temp: 58.73 C, Target: 59.51 C, Output: 15.62
Time: 33.82 s, Temp: 58.75 C, Target: 59.58 C, Output: 16.41
Time: 34.08 s, Temp: 58.70 C, Target: 59.66 C, Output: 19.77
Time: 34.35 s, Temp: 58.63 C, Target: 59.73 C, Output: 22.82
Time: 34.61 s, Temp: 58.67 C, Target: 59.81 C, Output: 22.21
Time: 34.87 s, Temp: 58.65 C, Target: 59.88 C, Output: 24.87
Time: 35.13 s, Temp: 58.68 C, Target: 59.95 C, Output: 25.19
Time: 35.40 s, Temp: 58.60 C, Target: 60.03 C, Output: 29.33
Time: 35.66 s, Temp: 58.58 C, Target: 60.10 C, Output: 30.75
Time: 35.92 s, Temp: 58.60 C, Target: 60.18 C, Output: 31.30
Time: 36.19 s, Temp: 58.58 C, Target: 60.25 C, Output: 33.73
Time: 36.45 s, Temp: 58.60 C, Target: 60.33 C, Output: 34.28
Time: 36.71 s, Temp: 58.61 C, Target: 60.40 C, Output: 35.77
Time: 36.97 s, Temp: 58.60 C, Target: 60.48 C, Output: 37.57
Time: 37.24 s, Temp: 58.61 C, Target: 60.55 C, Output: 38.75
Time: 37.50 s, Temp: 58.49 C, Target: 60.63 C, Output: 43.84
Time: 37.77 s, Temp: 58.53 C, Target: 60.70 C, Output: 42.99
Time: 38.03 s, Temp: 58.51 C, Target: 60.77 C, Output: 45.57
Time: 38.29 s, Temp: 58.51 C, Target: 60.85 C, Output: 46.82
Time: 38.55 s, Temp: 58.65 C, Target: 60.92 C, Output: 44.09
Time: 38.82 s, Temp: 58.44 C, Target: 61.00 C, Output: 53.32
Time: 39.08 s, Temp: 58.44 C, Target: 61.07 C, Output: 52.70
Time: 39.34 s, Temp: 58.47 C, Target: 61.15 C, Output: 53.26
Time: 39.61 s, Temp: 58.42 C, Target: 61.22 C, Output: 56.47
Time: 39.87 s, Temp: 58.56 C, Target: 61.30 C, Output: 53.27
Time: 40.13 s, Temp: 58.54 C, Target: 61.37 C, Output: 56.86
Time: 40.39 s, Temp: 58.40 C, Target: 61.44 C, Output: 62.34
Time: 40.66 s, Temp: 58.44 C, Target: 61.52 C, Output: 61.25
Time: 40.92 s, Temp: 58.40 C, Target: 61.59 C, Output: 64.31
Time: 41.18 s, Temp: 58.44 C, Target: 61.67 C, Output: 64.24
Time: 41.45 s, Temp: 58.47 C, Target: 61.74 C, Output: 65.18
Time: 41.71 s, Temp: 58.42 C, Target: 61.82 C, Output: 68.39
Time: 41.97 s, Temp: 58.40 C, Target: 61.89 C, Output: 70.11
Time: 42.24 s, Temp: 58.40 C, Target: 61.97 C, Output: 71.37
Time: 42.50 s, Temp: 58.40 C, Target: 62.04 C, Output: 72.86
Time: 42.76 s, Temp: 58.36 C, Target: 62.12 C, Output: 75.52
Time: 43.03 s, Temp: 58.36 C, Target: 62.19 C, Output: 76.62
Time: 43.29 s, Temp: 58.46 C, Target: 62.26 C, Output: 75.06
Time: 43.55 s, Temp: 58.33 C, Target: 62.34 C, Output: 81.55
Time: 43.81 s, Temp: 58.28 C, Target: 62.41 C, Output: 83.13
Time: 44.08 s, Temp: 58.29 C, Target: 62.49 C, Output: 83.91
Time: 44.34 s, Temp: 58.39 C, Target: 62.56 C, Output: 82.43
Time: 44.60 s, Temp: 58.35 C, Target: 62.64 C, Output: 86.11
Time: 44.87 s, Temp: 58.33 C, Target: 62.71 C, Output: 87.91
Time: 45.13 s, Temp: 58.33 C, Target: 62.79 C, Output: 89.17
Time: 45.39 s, Temp: 58.23 C, Target: 62.86 C, Output: 93.48
Time: 45.66 s, Temp: 58.21 C, Target: 62.94 C, Output: 94.73
Time: 45.92 s, Temp: 58.28 C, Target: 63.01 C, Output: 93.87
Time: 46.18 s, Temp: 58.24 C, Target: 63.08 C, Output: 97.24
Time: 46.44 s, Temp: 58.21 C, Target: 63.16 C, Output: 99.28
Time: 46.71 s, Temp: 58.17 C, Target: 63.23 C, Output: 101.63
Time: 46.97 s, Temp: 58.21 C, Target: 63.31 C, Output: 101.56
Time: 47.23 s, Temp: 58.22 C, Target: 63.38 C, Output: 103.21
Time: 47.50 s, Temp: 58.19 C, Target: 63.46 C, Output: 105.71
Time: 47.76 s, Temp: 58.20 C, Target: 63.53 C, Output: 106.66
Time: 48.02 s, Temp: 58.08 C, Target: 63.61 C, Output: 111.74
Time: 48.29 s, Temp: 58.23 C, Target: 63.68 C, Output: 107.37
Time: 48.55 s, Temp: 58.14 C, Target: 63.76 C, Output: 113.24
Time: 48.81 s, Temp: 58.15 C, Target: 63.83 C, Output: 113.55
Time: 49.08 s, Temp: 58.16 C, Target: 63.90 C, Output: 114.65
Time: 49.34 s, Temp: 58.08 C, Target: 63.98 C, Output: 118.88
Time: 49.60 s, Temp: 58.12 C, Target: 64.05 C, Output: 118.34
Time: 49.86 s, Temp: 58.09 C, Target: 64.13 C, Output: 120.92
Time: 50.13 s, Temp: 58.14 C, Target: 64.20 C, Output: 120.78
Time: 50.39 s, Temp: 58.21 C, Target: 64.28 C, Output: 120.63
Time: 50.65 s, Temp: 58.14 C, Target: 64.35 C, Output: 124.93
Time: 50.92 s, Temp: 58.01 C, Target: 64.43 C, Output: 129.70
Time: 51.18 s, Temp: 58.05 C, Target: 64.50 C, Output: 128.69
Time: 51.44 s, Temp: 58.05 C, Target: 64.58 C, Output: 130.57
Time: 51.71 s, Temp: 58.07 C, Target: 64.65 C, Output: 131.36
Time: 51.97 s, Temp: 58.01 C, Target: 64.72 C, Output: 134.96
Time: 52.23 s, Temp: 57.98 C, Target: 64.80 C, Output: 136.76
Time: 52.50 s, Temp: 57.98 C, Target: 64.87 C, Output: 137.71
Time: 52.76 s, Temp: 57.98 C, Target: 64.95 C, Output: 139.27
Time: 53.02 s, Temp: 58.01 C, Target: 65.02 C, Output: 140.06
Time: 53.29 s, Temp: 57.98 C, Target: 65.10 C, Output: 142.73
Time: 53.55 s, Temp: 57.96 C, Target: 65.17 C, Output: 144.38
Time: 53.81 s, Temp: 58.00 C, Target: 65.25 C, Output: 144.54
Time: 54.07 s, Temp: 57.98 C, Target: 65.32 C, Output: 146.89
Time: 54.34 s, Temp: 57.94 C, Target: 65.40 C, Output: 149.62
Time: 54.60 s, Temp: 57.94 C, Target: 65.47 C, Output: 150.64
Time: 54.86 s, Temp: 57.94 C, Target: 65.54 C, Output: 152.14
Time: 55.13 s, Temp: 57.91 C, Target: 65.62 C, Output: 154.57
Time: 55.39 s, Temp: 57.80 C, Target: 65.69 C, Output: 159.03
Time: 55.65 s, Temp: 57.93 C, Target: 65.77 C, Output: 155.44
Time: 55.92 s, Temp: 57.87 C, Target: 65.84 C, Output: 160.13
Time: 56.18 s, Temp: 57.80 C, Target: 65.92 C, Output: 162.87
Time: 56.44 s, Temp: 57.88 C, Target: 65.99 C, Output: 161.40
Time: 56.71 s, Temp: 57.87 C, Target: 66.07 C, Output: 164.14
Time: 56.97 s, Temp: 57.80 C, Target: 66.14 C, Output: 167.35
Time: 57.23 s, Temp: 57.86 C, Target: 66.22 C, Output: 166.57
Time: 57.49 s, Temp: 57.78 C, Target: 66.29 C, Output: 170.95
Time: 57.76 s, Temp: 57.78 C, Target: 66.36 C, Output: 171.66
Time: 58.02 s, Temp: 57.77 C, Target: 66.44 C, Output: 173.39
Time: 58.28 s, Temp: 57.76 C, Target: 66.51 C, Output: 175.27
Time: 58.55 s, Temp: 57.73 C, Target: 66.59 C, Output: 177.31
Time: 58.81 s, Temp: 57.84 C, Target: 66.66 C, Output: 175.28
Time: 59.07 s, Temp: 57.77 C, Target: 66.74 C, Output: 179.98
Time: 59.34 s, Temp: 57.86 C, Target: 66.81 C, Output: 178.18
Time: 59.60 s, Temp: 57.76 C, Target: 66.89 C, Output: 183.59
Time: 59.86 s, Temp: 57.75 C, Target: 66.96 C, Output: 184.30
Time: 60.12 s, Temp: 57.75 C, Target: 67.04 C, Output: 185.70
Time: 60.39 s, Temp: 57.77 C, Target: 67.11 C, Output: 186.49
Time: 60.65 s, Temp: 57.84 C, Target: 67.18 C, Output: 186.34
Time: 60.91 s, Temp: 57.71 C, Target: 67.26 C, Output: 192.20
Time: 61.18 s, Temp: 57.69 C, Target: 67.33 C, Output: 193.15
Time: 61.44 s, Temp: 57.69 C, Target: 67.41 C, Output: 194.41
Time: 61.70 s, Temp: 57.66 C, Target: 67.48 C, Output: 196.84
Time: 61.97 s, Temp: 57.63 C, Target: 67.56 C, Output: 198.72
Time: 62.23 s, Temp: 57.59 C, Target: 67.63 C, Output: 201.15
Time: 62.49 s, Temp: 57.66 C, Target: 67.71 C, Output: 200.37
Time: 62.76 s, Temp: 57.61 C, Target: 67.78 C, Output: 203.90
Time: 63.02 s, Temp: 57.62 C, Target: 67.86 C, Output: 204.68
Time: 63.28 s, Temp: 57.64 C, Target: 67.93 C, Output: 205.55
Time: 63.54 s, Temp: 57.62 C, Target: 68.00 C, Output: 207.97
Time: 63.81 s, Temp: 57.54 C, Target: 68.08 C, Output: 211.57
Time: 64.07 s, Temp: 57.56 C, Target: 68.15 C, Output: 211.58
Time: 64.33 s, Temp: 57.56 C, Target: 68.23 C, Output: 213.31
Time: 64.60 s, Temp: 57.59 C, Target: 68.30 C, Output: 214.10
Time: 64.86 s, Temp: 57.62 C, Target: 68.38 C, Output: 214.88
Time: 65.12 s, Temp: 57.52 C, Target: 68.45 C, Output: 219.73
Time: 65.39 s, Temp: 57.45 C, Target: 68.53 C, Output: 222.08
Time: 65.65 s, Temp: 57.52 C, Target: 68.60 C, Output: 220.84
Time: 65.91 s, Temp: 57.52 C, Target: 68.67 C, Output: 223.26
Time: 66.18 s, Temp: 57.48 C, Target: 68.75 C, Output: 225.85
Time: 66.44 s, Temp: 57.49 C, Target: 68.82 C, Output: 226.48
Time: 66.70 s, Temp: 57.49 C, Target: 68.90 C, Output: 228.13
Time: 66.96 s, Temp: 57.41 C, Target: 68.97 C, Output: 232.20
Time: 67.23 s, Temp: 57.49 C, Target: 69.05 C, Output: 230.25
Time: 67.49 s, Temp: 57.40 C, Target: 69.12 C, Output: 235.42
Time: 67.75 s, Temp: 57.48 C, Target: 69.20 C, Output: 233.63
Time: 68.02 s, Temp: 57.45 C, Target: 69.27 C, Output: 236.84
Time: 68.28 s, Temp: 57.42 C, Target: 69.35 C, Output: 238.72
Time: 68.54 s, Temp: 57.40 C, Target: 69.42 C, Output: 240.68
Time: 68.81 s, Temp: 57.45 C, Target: 69.50 C, Output: 240.29
Time: 69.07 s, Temp: 57.40 C, Target: 69.57 C, Output: 243.96
Time: 69.33 s, Temp: 57.42 C, Target: 69.64 C, Output: 244.21
Time: 69.59 s, Temp: 57.38 C, Target: 69.72 C, Output: 247.11
Time: 69.86 s, Temp: 57.38 C, Target: 69.79 C, Output: 248.21
Time: 70.12 s, Temp: 57.40 C, Target: 69.87 C, Output: 249.23
Time: 70.38 s, Temp: 57.38 C, Target: 69.94 C, Output: 251.34
Time: 70.65 s, Temp: 57.40 C, Target: 70.02 C, Output: 252.21
Time: 70.91 s, Temp: 57.42 C, Target: 70.09 C, Output: 253.16
Time: 71.17 s, Temp: 57.34 C, Target: 70.17 C, Output: 255.00
Time: 71.44 s, Temp: 57.40 C, Target: 70.24 C, Output: 255.00
Time: 71.70 s, Temp: 57.27 C, Target: 70.31 C, Output: 255.00
