Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: adafruit_feather_esp32s3_reversetft; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Reflow started
Time: 0.16 s, Temp: 24.52 C, Target: 50.04 C, Output: 255.00
Time: 0.42 s, Temp: 24.49 C, Target: 50.11 C, Output: 255.00
Time: 0.69 s, Temp: 24.63 C, Target: 50.17 C, Output: 255.00
Time: 0.95 s, Temp: 24.53 C, Target: 50.24 C, Output: 255.00
Time: 1.21 s, Temp: 24.58 C, Target: 50.30 C, Output: 255.00
Time: 1.48 s, Temp: 24.57 C, Target: 50.37 C, Output: 255.00
Time: 1.74 s, Temp: 24.51 C, Target: 50.43 C, Output: 255.00
Time: 2.00 s, Temp: 24.63 C, Target: 50.50 C, Output: 255.00
Time: 2.27 s, Temp: 24.69 C, Target: 50.57 C, Output: 255.00
Time: 2.53 s, Temp: 24.58 C, Target: 50.63 C, Output: 255.00
Time: 2.79 s, Temp: 24.58 C, Target: 50.70 C, Output: 255.00
Time: 3.06 s, Temp: 24.63 C, Target: 50.76 C, Output: 255.00
Time: 3.32 s, Temp: 24.62 C, Target: 50.83 C, Output: 255.00
Time: 3.58 s, Temp: 24.68 C, Target: 50.90 C, Output: 255.00
Time: 3.84 s, Temp: 24.63 C, Target: 50.96 C, Output: 255.00
Time: 4.11 s, Temp: 24.68 C, Target: 51.03 C, Output: 255.00
Time: 4.37 s, Temp: 24.58 C, Target: 51.09 C, Output: 255.00
Time: 4.63 s, Temp: 24.75 C, Target: 51.16 C, Output: 255.00
Time: 4.90 s, Temp: 24.66 C, Target: 51.22 C, Output: 255.00
Time: 5.16 s, Temp: 24.70 C, Target: 51.29 C, Output: 255.00
Time: 5.42 s, Temp: 24.73 C, Target: 51.36 C, Output: 255.00
Time: 5.69 s, Temp: 24.70 C, Target: 51.42 C, Output: 255.00
Time: 5.95 s, Temp: 24.71 C, Target: 51.49 C, Output: 255.00
Time: 6.21 s, Temp: 24.75 C, Target: 51.55 C, Output: 255.00
Time: 6.48 s, Temp: 24.71 C, Target: 51.62 C, Output: 255.00
Time: 6.74 s, Temp: 24.71 C, Target: 51.68 C, Output: 255.00
Time: 7.00 s, Temp: 24.77 C, Target: 51.75 C, Output: 255.00
Time: 7.26 s, Temp: 24.66 C, Target: 51.82 C, Output: 255.00
Time: 7.53 s, Temp: 24.80 C, Target: 51.88 C, Output: 255.00
Time: 7.79 s, Temp: 24.69 C, Target: 51.95 C, Output: 255.00
Time: 8.05 s, Temp: 24.77 C, Target: 52.01 C, Output: 255.00
Time: 8.32 s, Temp: 24.74 C, Target: 52.08 C, Output: 255.00
Time: 8.58 s, Temp: 24.73 C, Target: 52.14 C, Output: 255.00
Time: 8.84 s, Temp: 24.73 C, Target: 52.21 C, Output: 255.00
Time: 9.10 s, Temp: 24.75 C, Target: 52.28 C, Output: 255.00
Time: 9.37 s, Temp: 24.81 C, Target: 52.34 C, Output: 255.00
Time: 9.63 s, Temp: 24.75 C, Target: 52.41 C, Output: 255.00
Time: 9.89 s, Temp: 24.80 C, Target: 52.47 C, Output: 255.00
Time: 10.16 s, Temp: 24.74 C, Target: 52.54 C, Output: 255.00
Time: 10.42 s, Temp: 24.73 C, Target: 52.61 C, Output: 255.00
Time: 10.68 s, Temp: 24.83 C, Target: 52.67 C, Output: 255.00
Time: 10.95 s, Temp: 24.74 C, Target: 52.74 C, Output: 255.00
Time: 11.21 s, Temp: 24.83 C, Target: 52.80 C, Output: 255.00
Time: 11.47 s, Temp: 24.84 C, Target: 52.87 C, Output: 255.00
Time: 11.74 s, Temp: 24.83 C, Target: 52.93 C, Output: 255.00
Time: 12.00 s, Temp: 24.84 C, Target: 53.00 C, Output: 255.00
Time: 12.26 s, Temp: 24.79 C, Target: 53.07 C, Output: 255.00
Time: 12.53 s, Temp: 24.83 C, Target: 53.13 C, Output: 255.00
Time: 12.79 s, Temp: 24.88 C, Target: 53.20 C, Output: 255.00
Time: 13.05 s, Temp: 24.89 C, Target: 53.26 C, Output: 255.00
Time: 13.31 s, Temp: 24.85 C, Target: 53.33 C, Output: 255.00
Time: 13.58 s, Temp: 24.86 C, Target: 53.39 C, Output: 255.00
Time: 13.84 s, Temp: 24.89 C, Target: 53.46 C, Output: 255.00
Time: 14.10 s, Temp: 24.95 C, Target: 53.53 C, Output: 255.00
Time: 14.37 s, Temp: 24.93 C, Target: 53.59 C, Output: 255.00
Time: 14.63 s, Temp: 24.99 C, Target: 53.66 C, Output: 255.00
Time: 14.89 s, Temp: 24.91 C, Target: 53.72 C, Output: 255.00
Time: 15.16 s, Temp: 24.95 C, Target: 53.79 C, Output: 255.00
Time: 15.42 s, Temp: 24.95 C, Target: 53.85 C, Output: 255.00
Time: 15.68 s, Temp: 24.93 C, Target: 53.92 C, Output: 255.00
Time: 15.95 s, Temp: 24.93 C, Target: 53.99 C, Output: 255.00
Time: 16.21 s, Temp: 25.02 C, Target: 54.05 C, Output: 255.00
Time: 16.47 s, Temp: 25.08 C, Target: 54.12 C, Output: 255.00
Time: 16.73 s, Temp: 25.06 C, Target: 54.18 C, Output: 255.00
Time: 17.00 s, Temp: 25.02 C, Target: 54.25 C, Output: 255.00
Time: 17.26 s, Temp: 25.10 C, Target: 54.32 C, Output: 255.00
Time: 17.52 s, Temp: 25.08 C, Target: 54.38 C, Output: 255.00
Time: 17.79 s, Temp: 25.10 C, Target: 54.45 C, Output: 255.00
Time: 18.05 s, Temp: 25.02 C, Target: 54.51 C, Output: 255.00
Time: 18.31 s, Temp: 25.11 C, Target: 54.58 C, Output: 255.00
Time: 18.58 s, Temp: 25.16 C, Target: 54.64 C, Output: 255.00
Time: 18.84 s, Temp: 25.19 C, Target: 54.71 C, Output: 255.00
Time: 19.10 s, Temp: 25.11 C, Target: 54.78 C, Output: 255.00
Time: 19.37 s, Temp: 25.13 C, Target: 54.84 C, Output: 255.00
Time: 19.63 s, Temp: 25.24 C, Target: 54.91 C, Output: 255.00
Time: 19.89 s, Temp: 25.26 C, Target: 54.97 C, Output: 255.00
Time: 20.15 s, Temp: 25.27 C, Target: 55.04 C, Output: 255.00
Time: 20.42 s, Temp: 25.21 C, Target: 55.10 C, Output: 255.00
Time: 20.68 s, Temp: 25.28 C, Target: 55.17 C, Output: 255.00
Time: 20.94 s, Temp: 25.30 C, Target: 55.24 C, Output: 255.00
Time: 21.21 s, Temp: 25.34 C, Target: 55.30 C, Output: 255.00
Time: 21.47 s, Temp: 25.41 C, Target: 55.37 C, Output: 255.00
Time: 21.73 s, Temp: 25.46 C, Target: 55.43 C, Output: 255.00
Time: 22.00 s, Temp: 25.34 C, Target: 55.50 C, Output: 255.00
Time: 22.26 s, Temp: 25.39 C, Target: 55.57 C, Output: 255.00
Time: 22.52 s, Temp: 25.38 C, Target: 55.63 C, Output: 255.00
Time: 22.79 s, Temp: 25.48 C, Target: 55.70 C, Output: 255.00
Time: 23.05 s, Temp: 25.50 C, Target: 55.76 C, Output: 255.00
Time: 23.31 s, Temp: 25.45 C, Target: 55.83 C, Output: 255.00
Time: 23.58 s, Temp: 25.55 C, Target: 55.89 C, Output: 255.00
Time: 23.84 s, Temp: 25.52 C, Target: 55.96 C, Output: 255.00
Time: 24.10 s, Temp: 25.62 C, Target: 56.03 C, Output: 255.00
Time: 24.36 s, Temp: 25.62 C, Target: 56.09 C, Output: 255.00
Time: 24.63 s, Temp: 25.70 C, Target: 56.16 C, Output: 255.00
Time: 24.89 s, Temp: 25.66 C, Target: 56.22 C, Output: 255.00
Time: 25.15 s, Temp: 25.69 C, Target: 56.29 C, Output: 255.00
Time: 25.42 s, Temp: 25.77 C, Target: 56.35 C, Output: 255.00
Time: 25.68 s, Temp: 25.77 C, Target: 56.42 C, Output: 255.00
Time: 25.94 s, Temp: 25.73 C, Target: 56.49 C, Output: 255.00
Time: 26.21 s, Temp: 25.90 C, Target: 56.55 C, Output: 255.00
Time: 26.47 s, Temp: 25.86 C, Target: 56.62 C, Output: 255.00
Time: 26.73 s, Temp: 25.91 C, Target: 56.68 C, Output: 255.00
Time: 27.00 s, Temp: 26.01 C, Target: 56.75 C, Output: 255.00
Time: 27.26 s, Temp: 25.96 C, Target: 56.81 C, Output: 255.00
Time: 27.52 s, Temp: 25.97 C, Target: 56.88 C, Output: 255.00
Time: 27.78 s, Temp: 26.01 C, Target: 56.95 C, Output: 255.00
Time: 28.05 s, Temp: 26.05 C, Target: 57.01 C, Output: 255.00
Time: 28.31 s, Temp: 26.14 C, Target: 57.08 C, Output: 255.00
Time: 28.57 s, Temp: 26.14 C, Target: 57.14 C, Output: 255.00
Time: 28.84 s, Temp: 26.21 C, Target: 57.21 C, Output: 255.00
Time: 29.10 s, Temp: 26.16 C, Target: 57.28 C, Output: 255.00
Time: 29.36 s, Temp: 26.30 C, Target: 57.34 C, Output: 255.00
Time: 29.63 s, Temp: 26.32 C, Target: 57.41 C, Output: 255.00
Time: 29.89 s, Temp: 26.30 C, Target: 57.47 C, Output: 255.00
Time: 30.15 s, Temp: 26.34 C, Target: 57.54 C, Output: 255.00
Time: 30.42 s, Temp: 26.39 C, Target: 57.60 C, Output: 255.00
Time: 30.68 s, Temp: 26.37 C, Target: 57.67 C, Output: 255.00
Time: 30.94 s, Temp: 26.52 C, Target: 57.74 C, Output: 255.00
Time: 31.20 s, Temp: 26.52 C, Target: 57.80 C, Output: 255.00
Time: 31.47 s, Temp: 26.59 C, Target: 57.87 C, Output: 255.00
Time: 31.73 s, Temp: 26.57 C, Target: 57.93 C, Output: 255.00
Time: 32.00 s, Temp: 26.61 C, Target: 58.00 C, Output: 255.00
Time: 32.26 s, Temp: 26.65 C, Target: 58.06 C, Output: 255.00
Time: 32.52 s, Temp: 26.79 C, Target: 58.13 C, Output: 255.00
Time: 32.78 s, Temp: 26.79 C, Target: 58.20 C, Output: 255.00
Time: 33.05 s, Temp: 26.81 C, Target: 58.26 C, Output: 255.00
