Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: adafruit_feather_esp32s3_reversetft; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Reflow started
Time: 0.16 s, Temp: 56.92 C, Target: 50.03 C, Output: 0.00
Time: 0.42 s, Temp: 56.95 C, Target: 50.09 C, Output: 0.00
Time: 0.69 s, Temp: 56.95 C, Target: 50.15 C, Output: 0.00
Time: 0.95 s, Temp: 56.97 C, Target: 50.20 C, Output: 0.00
Time: 1.21 s, Temp: 56.91 C, Target: 50.26 C, Output: 0.00
Time: 1.48 s, Temp: 56.97 C, Target: 50.31 C, Output: 0.00
Time: 1.74 s, Temp: 56.98 C, Target: 50.37 C, Output: 0.00
Time: 2.00 s, Temp: 56.97 C, Target: 50.43 C, Output: 0.00
Time: 2.26 s, Temp: 56.91 C, Target: 50.48 C, Output: 0.00
Time: 2.53 s, Temp: 56.90 C, Target: 50.54 C, Output: 0.00
Time: 2.79 s, Temp: 56.94 C, Target: 50.59 C, Output: 0.00
Time: 3.05 s, Temp: 56.94 C, Target: 50.65 C, Output: 0.00
Time: 3.32 s, Temp: 57.03 C, Target: 50.70 C, Output: 0.00
Time: 3.58 s, Temp: 56.98 C, Target: 50.76 C, Output: 0.00
Time: 3.84 s, Temp: 56.89 C, Target: 50.82 C, Output: 0.00
Time: 4.11 s, Temp: 56.81 C, Target: 50.87 C, Output: 0.00
Time: 4.37 s, Temp: 56.92 C, Target: 50.93 C, Output: 0.00
Time: 4.63 s, Temp: 56.92 C, Target: 50.98 C, Output: 0.00
Time: 4.89 s, Temp: 56.83 C, Target: 51.04 C, Output: 0.00
Time: 5.16 s, Temp: 56.85 C, Target: 51.10 C, Output: 0.00
Time: 5.42 s, Temp: 56.90 C, Target: 51.15 C, Output: 0.00
Time: 5.68 s, Temp: 56.90 C, Target: 51.21 C, Output: 0.00
Time: 5.95 s, Temp: 56.95 C, Target: 51.26 C, Output: 0.00
Time: 6.21 s, Temp: 56.83 C, Target: 51.32 C, Output: 0.00
Time: 6.47 s, Temp: 56.83 C, Target: 51.37 C, Output: 0.00
Time: 6.73 s, Temp: 56.85 C, Target: 51.43 C, Output: 0.00
Time: 7.00 s, Temp: 56.85 C, Target: 51.49 C, Output: 0.00
Time: 7.26 s, Temp: 56.86 C, Target: 51.54 C, Output: 0.00
Time: 7.52 s, Temp: 56.85 C, Target: 51.60 C, Output: 0.00
Time: 7.78 s, Temp: 56.79 C, Target: 51.65 C, Output: 0.00
Time: 8.05 s, Temp: 56.83 C, Target: 51.71 C, Output: 0.00
Time: 8.31 s, Temp: 56.85 C, Target: 51.77 C, Output: 0.00
Time: 8.57 s, Temp: 56.76 C, Target: 51.82 C, Output: 0.00
Time: 8.84 s, Temp: 56.76 C, Target: 51.88 C, Output: 0.00
Time: 9.10 s, Temp: 56.84 C, Target: 51.93 C, Output: 0.00
Time: 9.36 s, Temp: 56.81 C, Target: 51.99 C, Output: 0.00
Time: 9.63 s, Temp: 56.74 C, Target: 52.05 C, Output: 0.00
Time: 9.89 s, Temp: 56.78 C, Target: 52.10 C, Output: 0.00
Time: 10.15 s, Temp: 56.84 C, Target: 52.16 C, Output: 0.00
Time: 10.42 s, Temp: 56.78 C, Target: 52.21 C, Output: 0.00
Time: 10.68 s, Temp: 56.74 C, Target: 52.27 C, Output: 0.00
Time: 10.94 s, Temp: 56.70 C, Target: 52.32 C, Output: 0.00
Time: 11.20 s, Temp: 56.72 C, Target: 52.38 C, Output: 0.00
Time: 11.47 s, Temp: 56.71 C, Target: 52.44 C, Output: 0.00
Time: 11.73 s, Temp: 56.71 C, Target: 52.49 C, Output: 0.00
Time: 11.99 s, Temp: 56.72 C, Target: 52.55 C, Output: 0.00
Time: 12.26 s, Temp: 56.76 C, Target: 52.60 C, Output: 0.00
Time: 12.52 s, Temp: 56.65 C, Target: 52.66 C, Output: 0.00
Time: 12.78 s, Temp: 56.65 C, Target: 52.72 C, Output: 0.00
Time: 13.04 s, Temp: 56.63 C, Target: 52.77 C, Output: 0.00
Time: 13.31 s, Temp: 56.65 C, Target: 52.83 C, Output: 0.00
Time: 13.57 s, Temp: 56.63 C, Target: 52.88 C, Output: 0.00
Time: 13.83 s, Temp: 56.69 C, Target: 52.94 C, Output: 0.00
Time: 14.10 s, Temp: 56.64 C, Target: 53.00 C, Output: 0.00
Time: 14.36 s, Temp: 56.62 C, Target: 53.05 C, Output: 0.00
Time: 14.62 s, Temp: 56.62 C, Target: 53.11 C, Output: 0.00
Time: 14.89 s, Temp: 56.67 C, Target: 53.16 C, Output: 0.00
Time: 15.15 s, Temp: 56.64 C, Target: 53.22 C, Output: 0.00
Time: 15.41 s, Temp: 56.57 C, Target: 53.27 C, Output: 0.00
Time: 15.67 s, Temp: 56.52 C, Target: 53.33 C, Output: 0.00
Time: 15.94 s, Temp: 56.58 C, Target: 53.39 C, Output: 0.00
Time: 16.20 s, Temp: 56.55 C, Target: 53.44 C, Output: 0.00
Time: 16.46 s, Temp: 56.55 C, Target: 53.50 C, Output: 0.00
Time: 16.73 s, Temp: 56.51 C, Target: 53.55 C, Output: 0.00
Time: 16.99 s, Temp: 56.51 C, Target: 53.61 C, Output: 0.00
Time: 17.25 s, Temp: 56.57 C, Target: 53.67 C, Output: 0.00
Time: 17.51 s, Temp: 56.46 C, Target: 53.72 C, Output: 0.00
Time: 17.78 s, Temp: 56.48 C, Target: 53.78 C, Output: 0.00
Time: 18.04 s, Temp: 56.52 C, Target: 53.83 C, Output: 0.00
Time: 18.30 s, Temp: 56.46 C, Target: 53.89 C, Output: 0.00
Time: 18.57 s, Temp: 56.44 C, Target: 53.95 C, Output: 0.00
Time: 18.83 s, Temp: 56.48 C, Target: 54.00 C, Output: 0.00
Time: 19.09 s, Temp: 56.44 C, Target: 54.06 C, Output: 0.00
Time: 19.35 s, Temp: 56.39 C, Target: 54.11 C, Output: 0.00
Time: 19.62 s, Temp: 56.48 C, Target: 54.17 C, Output: 0.00
Time: 19.88 s, Temp: 56.40 C, Target: 54.22 C, Output: 0.00
Time: 20.14 s, Temp: 56.39 C, Target: 54.28 C, Output: 0.00
Time: 20.41 s, Temp: 56.44 C, Target: 54.34 C, Output: 0.00
Time: 20.67 s, Temp: 56.37 C, Target: 54.39 C, Output: 0.00
Time: 20.93 s, Temp: 56.33 C, Target: 54.45 C, Output: 0.00
Time: 21.20 s, Temp: 56.34 C, Target: 54.50 C, Output: 0.00
Time: 21.46 s, Temp: 56.32 C, Target: 54.56 C, Output: 0.00
Time: 21.72 s, Temp: 56.39 C, Target: 54.62 C, Output: 0.00
Time: 21.98 s, Temp: 56.30 C, Target: 54.67 C, Output: 0.00
