Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: adafruit_feather_esp32s3_reversetft; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Reflow started
Time: 19.89 s, Temp: 49.38 C, Target: 54.97 C, Output: 104.92
Time: 20.15 s, Temp: 49.26 C, Target: 55.04 C, Output: 121.47
Time: 20.42 s, Temp: 49.29 C, Target: 55.10 C, Output: 114.74
Time: 20.68 s, Temp: 49.28 C, Target: 55.17 C, Output: 118.17
Time: 20.94 s, Temp: 49.23 C, Target: 55.24 C, Output: 122.37
Time: 21.21 s, Temp: 49.19 C, Target: 55.30 C, Output: 124.62
Time: 21.47 s, Temp: 49.23 C, Target: 55.37 C, Output: 120.32
Time: 21.73 s, Temp: 49.33 C, Target: 55.43 C, Output: 117.42
Time: 22.00 s, Temp: 49.22 C, Target: 55.50 C, Output: 131.07
Time: 22.26 s, Temp: 49.24 C, Target: 55.56 C, Output: 125.28
Time: 22.52 s, Temp: 49.24 C, Target: 55.63 C, Output: 127.76
Time: 22.78 s, Temp: 49.27 C, Target: 55.70 C, Output: 127.44
Time: 23.05 s, Temp: 49.14 C, Target: 55.76 C, Output: 138.67
Time: 23.31 s, Temp: 49.09 C, Target: 55.83 C, Output: 137.57
Time: 23.57 s, Temp: 49.19 C, Target: 55.89 C, Output: 129.04
Time: 23.84 s, Temp: 49.19 C, Target: 55.96 C, Output: 135.44
Time: 24.10 s, Temp: 49.17 C, Target: 56.03 C, Output: 137.84
Time: 24.36 s, Temp: 49.13 C, Target: 56.09 C, Output: 141.66
Time: 24.63 s, Temp: 49.14 C, Target: 56.16 C, Output: 139.54
Time: 24.89 s, Temp: 49.09 C, Target: 56.22 C, Output: 145.47
Time: 25.15 s, Temp: 49.11 C, Target: 56.29 C, Output: 142.41
Time: 25.42 s, Temp: 49.14 C, Target: 56.35 C, Output: 142.71
Time: 25.68 s, Temp: 49.05 C, Target: 56.42 C, Output: 151.60
Time: 25.94 s, Temp: 49.02 C, Target: 56.49 C, Output: 151.35
