Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: adafruit_feather_esp32s3_reversetft; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Reflow started
Time: 19.89 s, Temp: 33.05 C, Target: 68.09 C, Output: 255.00
Time: 20.16 s, Temp: 33.13 C, Target: 68.32 C, Output: 255.00
Time: 20.42 s, Temp: 33.15 C, Target: 68.56 C, Output: 255.00
Time: 20.68 s, Temp: 33.19 C, Target: 68.80 C, Output: 255.00
Time: 20.95 s, Temp: 33.16 C, Target: 69.04 C, Output: 255.00
Time: 21.21 s, Temp: 33.19 C, Target: 69.28 C, Output: 255.00
Time: 21.47 s, Temp: 33.17 C, Target: 69.52 C, Output: 255.00
Time: 21.73 s, Temp: 33.25 C, Target: 69.76 C, Output: 255.00
Time: 22.00 s, Temp: 33.30 C, Target: 70.00 C, Output: 255.00
Time: 22.26 s, Temp: 33.25 C, Target: 70.24 C, Output: 255.00
Time: 22.52 s, Temp: 33.32 C, Target: 70.48 C, Output: 255.00
Time: 22.79 s, Temp: 33.35 C, Target: 70.72 C, Output: 255.00
Time: 23.05 s, Temp: 33.30 C, Target: 70.96 C, Output: 255.00
Time: 23.31 s, Temp: 33.27 C, Target: 71.19 C, Output: 255.00
Time: 23.58 s, Temp: 33.39 C, Target: 71.43 C, Output: 255.00
Time: 23.84 s, Temp: 33.41 C, Target: 71.67 C, Output: 255.00
Time: 24.10 s, Temp: 33.42 C, Target: 71.91 C, Output: 255.00
Time: 24.37 s, Temp: 33.44 C, Target: 72.15 C, Output: 255.00
Time: 24.63 s, Temp: 33.60 C, Target: 72.39 C, Output: 255.00
Time: 24.89 s, Temp: 33.53 C, Target: 72.63 C, Output: 255.00
Time: 25.16 s, Temp: 33.58 C, Target: 72.87 C, Output: 255.00
Time: 25.42 s, Temp: 33.50 C, Target: 73.11 C, Output: 255.00
Time: 25.68 s, Temp: 33.66 C, Target: 73.35 C, Output: 255.00
Time: 25.94 s, Temp: 33.64 C, Target: 73.59 C, Output: 255.00
Time: 26.21 s, Temp: 33.66 C, Target: 73.83 C, Output: 255.00
Time: 26.47 s, Temp: 33.70 C, Target: 74.07 C, Output: 255.00
Time: 26.73 s, Temp: 33.69 C, Target: 74.30 C, Output: 255.00
Time: 27.00 s, Temp: 33.80 C, Target: 74.54 C, Output: 255.00
Time: 27.26 s, Temp: 33.81 C, Target: 74.78 C, Output: 255.00
Time: 27.52 s, Temp: 33.87 C, Target: 75.02 C, Output: 255.00
Time: 27.79 s, Temp: 33.76 C, Target: 75.26 C, Output: 255.00
Time: 28.05 s, Temp: 33.87 C, Target: 75.50 C, Output: 255.00
Time: 28.31 s, Temp: 33.91 C, Target: 75.74 C, Output: 255.00
Time: 28.58 s, Temp: 33.95 C, Target: 75.98 C, Output: 255.00
Time: 28.84 s, Temp: 33.98 C, Target: 76.22 C, Output: 255.00
Time: 29.10 s, Temp: 34.06 C, Target: 76.46 C, Output: 255.00
Time: 29.37 s, Temp: 34.04 C, Target: 76.70 C, Output: 255.00
Time: 29.63 s, Temp: 34.06 C, Target: 76.94 C, Output: 255.00
Time: 29.89 s, Temp: 34.18 C, Target: 77.17 C, Output: 255.00
Time: 30.15 s, Temp: 34.14 C, Target: 77.41 C, Output: 255.00
Time: 30.42 s, Temp: 34.20 C, Target: 77.65 C, Output: 255.00
Time: 30.68 s, Temp: 34.16 C, Target: 77.89 C, Output: 255.00
Time: 30.94 s, Temp: 34.29 C, Target: 78.13 C, Output: 255.00
Time: 31.21 s, Temp: 34.31 C, Target: 78.37 C, Output: 255.00
Time: 31.47 s, Temp: 34.40 C, Target: 78.61 C, Output: 255.00
Time: 31.73 s, Temp: 34.35 C, Target: 78.85 C, Output: 255.00
Time: 32.00 s, Temp: 34.47 C, Target: 79.09 C, Output: 255.00
Time: 32.26 s, Temp: 34.48 C, Target: 79.33 C, Output: 255.00
Time: 32.52 s, Temp: 34.59 C, Target: 79.57 C, Output: 255.00
Time: 32.79 s, Temp: 34.58 C, Target: 79.81 C, Output: 255.00
Time: 33.05 s, Temp: 34.63 C, Target: 80.04 C, Output: 255.00
Time: 33.31 s, Temp: 34.67 C, Target: 80.28 C, Output: 255.00
Time: 33.58 s, Temp: 34.70 C, Target: 80.52 C, Output: 255.00
Time: 33.84 s, Temp: 34.78 C, Target: 80.76 C, Output: 255.00
Time: 34.10 s, Temp: 34.85 C, Target: 81.00 C, Output: 255.00
Time: 34.37 s, Temp: 34.88 C, Target: 81.24 C, Output: 255.00
Time: 34.63 s, Temp: 34.91 C, Target: 81.48 C, Output: 255.00
Time: 34.89 s, Temp: 34.94 C, Target: 81.72 C, Output: 255.00
Time: 35.15 s, Temp: 34.97 C, Target: 81.96 C, Output: 255.00
Time: 35.42 s, Temp: 34.99 C, Target: 82.20 C, Output: 255.00
Time: 35.68 s, Temp: 35.14 C, Target: 82.44 C, Output: 255.00
Time: 35.94 s, Temp: 35.08 C, Target: 82.68 C, Output: 255.00
Time: 36.21 s, Temp: 35.20 C, Target: 82.92 C, Output: 255.00
Time: 36.47 s, Temp: 35.32 C, Target: 83.15 C, Output: 255.00
Time: 36.73 s, Temp: 35.27 C, Target: 83.39 C, Output: 255.00
Time: 37.00 s, Temp: 35.39 C, Target: 83.63 C, Output: 255.00
Time: 37.26 s, Temp: 35.34 C, Target: 83.87 C, Output: 255.00
Time: 37.52 s, Temp: 35.42 C, Target: 84.11 C, Output: 255.00
Time: 37.79 s, Temp: 35.48 C, Target: 84.35 C, Output: 255.00
Time: 38.05 s, Temp: 35.59 C, Target: 84.59 C, Output: 255.00
Time: 38.31 s, Temp: 35.67 C, Target: 84.83 C, Output: 255.00
Time: 38.57 s, Temp: 35.67 C, Target: 85.07 C, Output: 255.00
Time: 38.84 s, Temp: 35.67 C, Target: 85.31 C, Output: 255.00
Time: 39.10 s, Temp: 35.80 C, Target: 85.55 C, Output: 255.00
Time: 39.36 s, Temp: 35.86 C, Target: 85.79 C, Output: 255.00
Time: 39.63 s, Temp: 35.93 C, Target: 86.02 C, Output: 255.00
Time: 39.89 s, Temp: 35.98 C, Target: 86.26 C, Output: 255.00
Time: 40.15 s, Temp: 36.05 C, Target: 86.50 C, Output: 255.00
Time: 40.42 s, Temp: 36.09 C, Target: 86.74 C, Output: 255.00
Time: 40.68 s, Temp: 36.18 C, Target: 86.98 C, Output: 255.00
Time: 40.94 s, Temp: 36.16 C, Target: 87.22 C, Output: 255.00
Time: 41.21 s, Temp: 36.26 C, Target: 87.46 C, Output: 255.00
Time: 41.47 s, Temp: 36.32 C, Target: 87.70 C, Output: 255.00
Time: 41.73 s, Temp: 36.37 C, Target: 87.94 C, Output: 255.00
Time: 42.00 s, Temp: 36.54 C, Target: 88.18 C, Output: 255.00
Time: 42.26 s, Temp: 36.57 C, Target: 88.42 C, Output: 255.00
Time: 42.52 s, Temp: 36.59 C, Target: 88.66 C, Output: 255.00
Time: 42.78 s, Temp: 36.63 C, Target: 88.89 C, Output: 255.00
Time: 43.05 s, Temp: 36.81 C, Target: 89.13 C, Output: 255.00
Time: 43.31 s, Temp: 36.80 C, Target: 89.37 C, Output: 255.00
Time: 43.57 s, Temp: 36.95 C, Target: 89.61 C, Output: 255.00
Time: 43.84 s, Temp: 36.89 C, Target: 89.85 C, Output: 255.00
Time: 44.10 s, Temp: 36.95 C, Target: 90.09 C, Output: 255.00
Time: 44.36 s, Temp: 37.05 C, Target: 90.33 C, Output: 255.00
Time: 44.63 s, Temp: 37.13 C, Target: 90.57 C, Output: 255.00
Time: 44.89 s, Temp: 37.22 C, Target: 90.81 C, Output: 255.00
Time: 45.15 s, Temp: 37.18 C, Target: 91.05 C, Output: 255.00
Time: 45.42 s, Temp: 37.42 C, Target: 91.29 C, Output: 255.00
Time: 45.68 s, Temp: 37.40 C, Target: 91.53 C, Output: 255.00
Time: 45.94 s, Temp: 37.52 C, Target: 91.77 C, Output: 255.00
Time: 46.21 s, Temp: 37.67 C, Target: 92.00 C, Output: 255.00
Time: 46.47 s, Temp: 37.63 C, Target: 92.24 C, Output: 255.00
Time: 46.73 s, Temp: 37.66 C, Target: 92.48 C, Output: 255.00
Time: 47.00 s, Temp: 37.73 C, Target: 92.72 C, Output: 255.00
Time: 47.26 s, Temp: 37.86 C, Target: 92.96 C, Output: 255.00
Time: 47.52 s, Temp: 37.94 C, Target: 93.20 C, Output: 255.00
Time: 47.78 s, Temp: 38.04 C, Target: 93.44 C, Output: 255.00
Time: 48.05 s, Temp: 38.12 C, Target: 93.68 C, Output: 255.00
Time: 48.31 s, Temp: 38.21 C, Target: 93.92 C, Output: 255.00
Time: 48.57 s, Temp: 38.26 C, Target: 94.16 C, Output: 255.00
Time: 48.84 s, Temp: 38.35 C, Target: 94.40 C, Output: 255.00
Time: 49.10 s, Temp: 38.49 C, Target: 94.64 C, Output: 255.00
Time: 49.36 s, Temp: 38.51 C, Target: 94.87 C, Output: 255.00
Time: 49.63 s, Temp: 38.67 C, Target: 95.11 C, Output: 255.00
Time: 49.89 s, Temp: 38.77 C, Target: 95.35 C, Output: 255.00
Time: 50.15 s, Temp: 38.72 C, Target: 95.59 C, Output: 255.00
Time: 50.42 s, Temp: 38.92 C, Target: 95.83 C, Output: 255.00
Time: 50.68 s, Temp: 38.96 C, Target: 96.07 C, Output: 255.00
Time: 50.94 s, Temp: 39.00 C, Target: 96.31 C, Output: 255.00
Time: 51.20 s, Temp: 39.16 C, Target: 96.55 C, Output: 255.00
Time: 51.47 s, Temp: 39.21 C, Target: 96.79 C, Output: 255.00
Time: 51.73 s, Temp: 39.26 C, Target: 97.03 C, Output: 255.00
Time: 51.99 s, Temp: 39.42 C, Target: 97.27 C, Output: 255.00
Time: 52.26 s, Temp: 39.55 C, Target: 97.51 C, Output: 255.00
Time: 52.52 s, Temp: 39.62 C, Target: 97.74 C, Output: 255.00
Time: 52.78 s, Temp: 39.66 C, Target: 97.98 C, Output: 255.00
Time: 53.05 s, Temp: 39.73 C, Target: 98.22 C, Output: 255.00
Time: 53.31 s, Temp: 39.89 C, Target: 98.46 C, Output: 255.00
Time: 53.57 s, Temp: 39.92 C, Target: 98.70 C, Output: 255.00
Time: 53.84 s, Temp: 40.02 C, Target: 98.94 C, Output: 255.00
Time: 54.10 s, Temp: 40.13 C, Target: 99.18 C, Output: 255.00
Time: 54.36 s, Temp: 40.19 C, Target: 99.42 C, Output: 255.00
Time: 54.63 s, Temp: 40.38 C, Target: 99.66 C, Output: 255.00
