Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: adafruit_feather_esp32s3_reversetft; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Reflow started
Time: 12.39 s, Temp: 77.83 C, Target: 53.10 C, Output: 0.00
Time: 12.56 s, Temp: 77.73 C, Target: 53.14 C, Output: 0.00
Time: 12.72 s, Temp: 77.75 C, Target: 53.18 C, Output: 0.00
Time: 12.88 s, Temp: 77.66 C, Target: 53.22 C, Output: 0.00
Time: 13.05 s, Temp: 77.59 C, Target: 53.26 C, Output: 0.00
Time: 13.21 s, Temp: 77.41 C, Target: 53.30 C, Output: 0.00
Time: 13.37 s, Temp: 77.27 C, Target: 53.34 C, Output: 0.00
Time: 13.53 s, Temp: 77.19 C, Target: 53.38 C, Output: 0.00
Time: 13.70 s, Temp: 77.05 C, Target: 53.42 C, Output: 0.00
Time: 13.86 s, Temp: 76.95 C, Target: 53.47 C, Output: 0.00
Time: 14.02 s, Temp: 76.82 C, Target: 53.51 C, Output: 0.00
Time: 14.19 s, Temp: 76.66 C, Target: 53.55 C, Output: 0.00
Time: 14.35 s, Temp: 76.68 C, Target: 53.59 C, Output: 0.00
Time: 14.51 s, Temp: 76.40 C, Target: 53.63 C, Output: 0.00
Time: 14.68 s, Temp: 76.47 C, Target: 53.67 C, Output: 0.00
Time: 14.84 s, Temp: 76.27 C, Target: 53.71 C, Output: 0.00
Time: 15.00 s, Temp: 76.23 C, Target: 53.75 C, Output: 0.00
Time: 15.17 s, Temp: 76.03 C, Target: 53.79 C, Output: 0.00
Time: 15.33 s, Temp: 76.02 C, Target: 53.83 C, Output: 0.00
Time: 15.49 s, Temp: 75.95 C, Target: 53.87 C, Output: 0.00
Time: 15.65 s, Temp: 75.83 C, Target: 53.91 C, Output: 0.00
Time: 15.82 s, Temp: 75.62 C, Target: 53.95 C, Output: 0.00
Time: 15.98 s, Temp: 75.57 C, Target: 54.00 C, Output: 0.00
Time: 16.14 s, Temp: 75.50 C, Target: 54.04 C, Output: 0.00
Time: 16.31 s, Temp: 75.40 C, Target: 54.08 C, Output: 0.00
Time: 16.47 s, Temp: 75.36 C, Target: 54.12 C, Output: 0.00
Time: 16.63 s, Temp: 75.30 C, Target: 54.16 C, Output: 0.00
Time: 16.80 s, Temp: 75.21 C, Target: 54.20 C, Output: 0.00
Time: 16.96 s, Temp: 75.04 C, Target: 54.24 C, Output: 0.00
Time: 17.12 s, Temp: 75.17 C, Target: 54.28 C, Output: 0.00
Time: 17.28 s, Temp: 75.08 C, Target: 54.32 C, Output: 0.00
Time: 17.45 s, Temp: 75.17 C, Target: 54.36 C, Output: 0.00
Time: 17.61 s, Temp: 75.20 C, Target: 54.40 C, Output: 0.00
Time: 17.77 s, Temp: 75.15 C, Target: 54.44 C, Output: 0.00
Time: 17.94 s, Temp: 75.04 C, Target: 54.48 C, Output: 0.00
Time: 18.10 s, Temp: 75.01 C, Target: 54.53 C, Output: 0.00
Time: 18.26 s, Temp: 74.92 C, Target: 54.57 C, Output: 0.00
Time: 18.43 s, Temp: 74.87 C, Target: 54.61 C, Output: 0.00
Time: 18.59 s, Temp: 74.78 C, Target: 54.65 C, Output: 0.00
Time: 18.75 s, Temp: 74.69 C, Target: 54.69 C, Output: 0.00
Time: 18.92 s, Temp: 74.59 C, Target: 54.73 C, Output: 0.00
Time: 19.08 s, Temp: 74.59 C, Target: 54.77 C, Output: 0.00
Time: 19.24 s, Temp: 74.45 C, Target: 54.81 C, Output: 0.00
Time: 19.41 s, Temp: 74.33 C, Target: 54.85 C, Output: 0.00
Time: 19.57 s, Temp: 74.33 C, Target: 54.89 C, Output: 0.00
Time: 19.73 s, Temp: 74.33 C, Target: 54.93 C, Output: 0.00
Time: 19.90 s, Temp: 74.26 C, Target: 54.97 C, Output: 0.00
Time: 20.06 s, Temp: 74.26 C, Target: 55.01 C, Output: 0.00
Time: 20.22 s, Temp: 74.20 C, Target: 55.06 C, Output: 0.00
Time: 20.38 s, Temp: 74.14 C, Target: 55.10 C, Output: 0.00
Time: 20.55 s, Temp: 74.10 C, Target: 55.14 C, Output: 0.00
Time: 20.71 s, Temp: 74.02 C, Target: 55.18 C, Output: 0.00
Time: 20.87 s, Temp: 74.02 C, Target: 55.22 C, Output: 0.00
Time: 21.04 s, Temp: 73.86 C, Target: 55.26 C, Output: 0.00
Time: 21.20 s, Temp: 73.93 C, Target: 55.30 C, Output: 0.00
Time: 21.36 s, Temp: 73.81 C, Target: 55.34 C, Output: 0.00
Time: 21.53 s, Temp: 73.88 C, Target: 55.38 C, Output: 0.00
Time: 21.69 s, Temp: 73.72 C, Target: 55.42 C, Output: 0.00
Time: 21.85 s, Temp: 73.72 C, Target: 55.46 C, Output: 0.00
Time: 22.01 s, Temp: 73.72 C, Target: 55.50 C, Output: 0.00
Time: 22.18 s, Temp: 73.62 C, Target: 55.54 C, Output: 0.00
Time: 22.34 s, Temp: 73.72 C, Target: 55.59 C, Output: 0.00
Time: 22.50 s, Temp: 73.59 C, Target: 55.63 C, Output: 0.00
Time: 22.67 s, Temp: 73.44 C, Target: 55.67 C, Output: 0.00
Time: 22.83 s, Temp: 73.43 C, Target: 55.71 C, Output: 0.00
Time: 22.99 s, Temp: 73.27 C, Target: 55.75 C, Output: 0.00
Time: 23.16 s, Temp: 73.20 C, Target: 55.79 C, Output: 0.00
Time: 23.32 s, Temp: 73.04 C, Target: 55.83 C, Output: 0.00
Time: 23.48 s, Temp: 72.84 C, Target: 55.87 C, Output: 0.00
Time: 23.65 s, Temp: 72.76 C, Target: 55.91 C, Output: 0.00
Time: 23.81 s, Temp: 72.73 C, Target: 55.95 C, Output: 0.00
