Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Time: 18.71 s, dT: 0.1010 s, Temp: 34.38 C, Target: 51.07 C, Output: 255
Time: 18.81 s, dT: 0.1010 s, Temp: 34.42 C, Target: 51.11 C, Output: 255
Time: 18.91 s, dT: 0.1010 s, Temp: 34.45 C, Target: 51.16 C, Output: 255
Time: 19.01 s, dT: 0.1000 s, Temp: 34.38 C, Target: 51.21 C, Output: 255
Time: 19.11 s, dT: 0.1000 s, Temp: 34.34 C, Target: 51.25 C, Output: 255
Time: 19.21 s, dT: 0.1000 s, Temp: 34.38 C, Target: 51.30 C, Output: 255
Time: 19.31 s, dT: 0.1000 s, Temp: 34.41 C, Target: 51.34 C, Output: 255
Time: 19.41 s, dT: 0.1000 s, Temp: 34.48 C, Target: 51.39 C, Output: 255
Time: 19.51 s, dT: 0.1000 s, Temp: 34.42 C, Target: 51.44 C, Output: 255
Time: 19.61 s, dT: 0.1000 s, Temp: 34.41 C, Target: 51.48 C, Output: 255
Time: 19.71 s, dT: 0.1000 s, Temp: 34.35 C, Target: 51.53 C, Output: 255
Time: 19.81 s, dT: 0.1000 s, Temp: 34.38 C, Target: 51.58 C, Output: 255
Time: 19.91 s, dT: 0.1000 s, Temp: 34.41 C, Target: 51.62 C, Output: 255
Time: 20.01 s, dT: 0.1000 s, Temp: 34.41 C, Target: 51.67 C, Output: 255
Time: 20.11 s, dT: 0.1000 s, Temp: 34.38 C, Target: 51.71 C, Output: 255
Time: 20.21 s, dT: 0.1000 s, Temp: 34.35 C, Target: 51.76 C, Output: 255
Time: 20.31 s, dT: 0.1000 s, Temp: 34.35 C, Target: 51.81 C, Output: 255
Time: 20.41 s, dT: 0.1000 s, Temp: 34.38 C, Target: 51.85 C, Output: 255
Time: 20.51 s, dT: 0.1000 s, Temp: 34.35 C, Target: 51.90 C, Output: 255
Time: 20.61 s, dT: 0.1000 s, Temp: 34.43 C, Target: 51.95 C, Output: 255
Time: 20.71 s, dT: 0.1000 s, Temp: 34.32 C, Target: 51.99 C, Output: 255
Time: 20.81 s, dT: 0.1000 s, Temp: 34.38 C, Target: 52.04 C, Output: 255
Time: 20.91 s, dT: 0.1000 s, Temp: 34.45 C, Target: 52.08 C, Output: 255
Time: 21.01 s, dT: 0.1010 s, Temp: 34.43 C, Target: 52.13 C, Output: 255
Time: 21.11 s, dT: 0.1000 s, Temp: 34.35 C, Target: 52.18 C, Output: 255
Time: 21.21 s, dT: 0.1000 s, Temp: 34.38 C, Target: 52.22 C, Output: 255
Time: 21.31 s, dT: 0.1000 s, Temp: 34.38 C, Target: 52.27 C, Output: 255
Time: 21.41 s, dT: 0.1010 s, Temp: 34.45 C, Target: 52.32 C, Output: 255
Time: 21.51 s, dT: 0.1000 s, Temp: 34.42 C, Target: 52.36 C, Output: 255
Time: 21.61 s, dT: 0.1000 s, Temp: 34.41 C, Target: 52.41 C, Output: 255
Time: 21.71 s, dT: 0.1000 s, Temp: 34.45 C, Target: 52.46 C, Output: 255
Time: 21.81 s, dT: 0.1000 s, Temp: 34.48 C, Target: 52.50 C, Output: 255
Time: 21.91 s, dT: 0.1000 s, Temp: 34.45 C, Target: 52.55 C, Output: 255
Time: 22.01 s, dT: 0.1000 s, Temp: 34.45 C, Target: 52.59 C, Output: 255
Time: 22.11 s, dT: 0.1000 s, Temp: 34.40 C, Target: 52.64 C, Output: 255
Time: 22.21 s, dT: 0.1000 s, Temp: 34.51 C, Target: 52.69 C, Output: 255
Time: 22.31 s, dT: 0.1000 s, Temp: 34.54 C, Target: 52.73 C, Output: 255
Time: 22.41 s, dT: 0.1000 s, Temp: 34.51 C, Target: 52.78 C, Output: 255
Time: 22.51 s, dT: 0.1000 s, Temp: 34.42 C, Target: 52.83 C, Output: 255
Time: 22.61 s, dT: 0.1000 s, Temp: 34.43 C, Target: 52.87 C, Output: 255
Time: 22.71 s, dT: 0.1000 s, Temp: 34.47 C, Target: 52.92 C, Output: 255
Time: 22.81 s, dT: 0.1000 s, Temp: 34.52 C, Target: 52.96 C, Output: 255
Time: 22.91 s, dT: 0.1000 s, Temp: 34.49 C, Target: 53.01 C, Output: 255
Time: 23.01 s, dT: 0.1000 s, Temp: 34.48 C, Target: 53.06 C, Output: 255
Time: 23.11 s, dT: 0.1000 s, Temp: 34.53 C, Target: 53.10 C, Output: 255
Time: 23.21 s, dT: 0.1000 s, Temp: 34.49 C, Target: 53.15 C, Output: 255
Time: 23.31 s, dT: 0.1000 s, Temp: 34.53 C, Target: 53.20 C, Output: 255
Time: 23.41 s, dT: 0.1000 s, Temp: 34.52 C, Target: 53.24 C, Output: 255
Time: 23.51 s, dT: 0.1000 s, Temp: 34.62 C, Target: 53.29 C, Output: 255
Time: 23.61 s, dT: 0.1000 s, Temp: 34.52 C, Target: 53.33 C, Output: 255
Time: 23.71 s, dT: 0.1010 s, Temp: 34.56 C, Target: 53.38 C, Output: 255
Time: 23.81 s, dT: 0.1000 s, Temp: 34.66 C, Target: 53.43 C, Output: 255
Time: 23.91 s, dT: 0.1000 s, Temp: 34.62 C, Target: 53.47 C, Output: 255
Time: 24.01 s, dT: 0.1000 s, Temp: 34.62 C, Target: 53.52 C, Output: 255
Time: 24.11 s, dT: 0.1010 s, Temp: 34.58 C, Target: 53.57 C, Output: 255
Time: 24.21 s, dT: 0.1000 s, Temp: 34.60 C, Target: 53.61 C, Output: 255
Time: 24.31 s, dT: 0.1000 s, Temp: 34.62 C, Target: 53.66 C, Output: 255
Time: 24.41 s, dT: 0.1000 s, Temp: 34.67 C, Target: 53.71 C, Output: 255
Time: 24.52 s, dT: 0.1010 s, Temp: 34.62 C, Target: 53.75 C, Output: 255
Time: 24.62 s, dT: 0.1010 s, Temp: 34.63 C, Target: 53.80 C, Output: 255
Time: 24.72 s, dT: 0.1010 s, Temp: 34.63 C, Target: 53.85 C, Output: 255
Time: 24.82 s, dT: 0.1000 s, Temp: 34.67 C, Target: 53.89 C, Output: 255
Time: 24.92 s, dT: 0.1000 s, Temp: 34.66 C, Target: 53.94 C, Output: 255
Time: 25.02 s, dT: 0.1000 s, Temp: 34.66 C, Target: 53.98 C, Output: 255
Time: 25.12 s, dT: 0.1000 s, Temp: 34.72 C, Target: 54.03 C, Output: 255
Time: 25.22 s, dT: 0.1000 s, Temp: 34.70 C, Target: 54.08 C, Output: 255
Time: 25.32 s, dT: 0.1000 s, Temp: 34.65 C, Target: 54.12 C, Output: 255
Time: 25.42 s, dT: 0.1000 s, Temp: 34.72 C, Target: 54.17 C, Output: 255
Time: 25.52 s, dT: 0.1000 s, Temp: 34.77 C, Target: 54.22 C, Output: 255
Time: 25.62 s, dT: 0.1000 s, Temp: 34.68 C, Target: 54.26 C, Output: 255
Time: 25.72 s, dT: 0.1000 s, Temp: 34.70 C, Target: 54.31 C, Output: 255
Time: 25.82 s, dT: 0.1000 s, Temp: 34.73 C, Target: 54.35 C, Output: 255
Time: 25.92 s, dT: 0.1000 s, Temp: 34.73 C, Target: 54.40 C, Output: 255
Time: 26.02 s, dT: 0.1000 s, Temp: 34.80 C, Target: 54.45 C, Output: 255
Time: 26.12 s, dT: 0.1000 s, Temp: 34.83 C, Target: 54.49 C, Output: 255
Time: 26.22 s, dT: 0.1000 s, Temp: 34.77 C, Target: 54.54 C, Output: 255
Time: 26.32 s, dT: 0.1000 s, Temp: 34.76 C, Target: 54.59 C, Output: 255
Time: 26.42 s, dT: 0.1000 s, Temp: 34.92 C, Target: 54.63 C, Output: 255
Time: 26.52 s, dT: 0.1000 s, Temp: 34.91 C, Target: 54.68 C, Output: 255
Time: 26.62 s, dT: 0.1000 s, Temp: 34.94 C, Target: 54.72 C, Output: 255
Time: 26.72 s, dT: 0.1000 s, Temp: 34.88 C, Target: 54.77 C, Output: 255
Time: 26.82 s, dT: 0.1000 s, Temp: 34.90 C, Target: 54.82 C, Output: 255
Time: 26.92 s, dT: 0.1010 s, Temp: 34.97 C, Target: 54.86 C, Output: 255
Time: 27.02 s, dT: 0.1000 s, Temp: 34.99 C, Target: 54.91 C, Output: 255
Time: 27.12 s, dT: 0.1000 s, Temp: 34.99 C, Target: 54.96 C, Output: 255
Time: 27.22 s, dT: 0.1000 s, Temp: 34.95 C, Target: 55.00 C, Output: 255
Time: 27.32 s, dT: 0.1000 s, Temp: 35.08 C, Target: 55.05 C, Output: 255
Time: 27.42 s, dT: 0.1000 s, Temp: 34.98 C, Target: 55.09 C, Output: 255
Time: 27.52 s, dT: 0.1000 s, Temp: 35.03 C, Target: 55.14 C, Output: 255
Time: 27.62 s, dT: 0.1000 s, Temp: 35.10 C, Target: 55.19 C, Output: 255
Time: 27.72 s, dT: 0.1000 s, Temp: 35.10 C, Target: 55.23 C, Output: 255
Time: 27.82 s, dT: 0.1000 s, Temp: 35.17 C, Target: 55.28 C, Output: 255
Time: 27.92 s, dT: 0.1000 s, Temp: 35.23 C, Target: 55.33 C, Output: 255
Time: 28.02 s, dT: 0.1000 s, Temp: 35.24 C, Target: 55.37 C, Output: 255
Time: 28.12 s, dT: 0.1000 s, Temp: 35.16 C, Target: 55.42 C, Output: 255
Time: 28.22 s, dT: 0.1000 s, Temp: 35.23 C, Target: 55.46 C, Output: 255
Time: 28.32 s, dT: 0.1000 s, Temp: 35.24 C, Target: 55.51 C, Output: 255
Time: 28.42 s, dT: 0.1000 s, Temp: 35.22 C, Target: 55.56 C, Output: 255
Time: 28.52 s, dT: 0.1000 s, Temp: 35.21 C, Target: 55.60 C, Output: 255
Time: 28.62 s, dT: 0.1000 s, Temp: 35.30 C, Target: 55.65 C, Output: 255
Time: 28.72 s, dT: 0.1000 s, Temp: 35.32 C, Target: 55.70 C, Output: 255
Time: 28.82 s, dT: 0.1000 s, Temp: 35.34 C, Target: 55.74 C, Output: 255
Time: 28.92 s, dT: 0.1000 s, Temp: 35.35 C, Target: 55.79 C, Output: 255
Time: 29.02 s, dT: 0.1000 s, Temp: 35.38 C, Target: 55.83 C, Output: 255
Time: 29.12 s, dT: 0.1000 s, Temp: 35.46 C, Target: 55.88 C, Output: 255
Time: 29.22 s, dT: 0.1010 s, Temp: 35.51 C, Target: 55.93 C, Output: 255
Time: 29.32 s, dT: 0.1000 s, Temp: 35.52 C, Target: 55.97 C, Output: 255
Time: 29.42 s, dT: 0.1000 s, Temp: 35.51 C, Target: 56.02 C, Output: 255
Time: 29.52 s, dT: 0.1000 s, Temp: 35.55 C, Target: 56.07 C, Output: 255
Time: 29.62 s, dT: 0.1000 s, Temp: 35.55 C, Target: 56.11 C, Output: 255
Time: 29.72 s, dT: 0.1000 s, Temp: 35.55 C, Target: 56.16 C, Output: 255
Time: 29.82 s, dT: 0.1000 s, Temp: 35.66 C, Target: 56.21 C, Output: 255
Time: 29.92 s, dT: 0.1000 s, Temp: 35.64 C, Target: 56.25 C, Output: 255
Time: 30.02 s, dT: 0.1000 s, Temp: 35.65 C, Target: 56.30 C, Output: 255
Time: 30.12 s, dT: 0.1000 s, Temp: 35.67 C, Target: 56.34 C, Output: 255
Time: 30.22 s, dT: 0.1000 s, Temp: 35.77 C, Target: 56.39 C, Output: 255
Time: 30.32 s, dT: 0.1000 s, Temp: 35.83 C, Target: 56.44 C, Output: 255
Time: 30.42 s, dT: 0.1000 s, Temp: 35.84 C, Target: 56.48 C, Output: 255
Time: 30.52 s, dT: 0.1000 s, Temp: 35.82 C, Target: 56.53 C, Output: 255
Time: 30.62 s, dT: 0.1000 s, Temp: 35.83 C, Target: 56.58 C, Output: 255
Time: 30.72 s, dT: 0.1000 s, Temp: 35.87 C, Target: 56.62 C, Output: 255
Time: 30.82 s, dT: 0.1000 s, Temp: 35.88 C, Target: 56.67 C, Output: 255
Time: 30.92 s, dT: 0.1000 s, Temp: 35.93 C, Target: 56.71 C, Output: 255
Time: 31.02 s, dT: 0.1000 s, Temp: 36.00 C, Target: 56.76 C, Output: 255
Time: 31.12 s, dT: 0.1000 s, Temp: 36.06 C, Target: 56.81 C, Output: 255
Time: 31.22 s, dT: 0.1000 s, Temp: 36.06 C, Target: 56.85 C, Output: 255
Time: 31.32 s, dT: 0.1000 s, Temp: 36.04 C, Target: 56.90 C, Output: 255
Time: 31.42 s, dT: 0.1000 s, Temp: 36.12 C, Target: 56.95 C, Output: 255
Time: 31.52 s, dT: 0.1000 s, Temp: 36.12 C, Target: 56.99 C, Output: 255
Time: 31.62 s, dT: 0.1000 s, Temp: 36.16 C, Target: 57.04 C, Output: 255
Time: 31.72 s, dT: 0.1000 s, Temp: 36.23 C, Target: 57.08 C, Output: 255
Time: 31.82 s, dT: 0.1000 s, Temp: 36.25 C, Target: 57.13 C, Output: 255
Time: 31.92 s, dT: 0.1000 s, Temp: 36.30 C, Target: 57.18 C, Output: 255
Time: 32.02 s, dT: 0.1000 s, Temp: 36.38 C, Target: 57.22 C, Output: 255
Time: 32.12 s, dT: 0.1000 s, Temp: 36.41 C, Target: 57.27 C, Output: 255
Time: 32.22 s, dT: 0.1000 s, Temp: 36.48 C, Target: 57.32 C, Output: 255
Time: 32.32 s, dT: 0.1000 s, Temp: 36.52 C, Target: 57.36 C, Output: 255
Time: 32.42 s, dT: 0.1000 s, Temp: 36.52 C, Target: 57.41 C, Output: 255
Time: 32.52 s, dT: 0.1000 s, Temp: 36.52 C, Target: 57.45 C, Output: 255
Time: 32.62 s, dT: 0.1000 s, Temp: 36.57 C, Target: 57.50 C, Output: 255
Time: 32.72 s, dT: 0.1000 s, Temp: 36.72 C, Target: 57.55 C, Output: 255
Time: 32.82 s, dT: 0.1000 s, Temp: 36.68 C, Target: 57.59 C, Output: 255
Time: 32.92 s, dT: 0.1000 s, Temp: 36.77 C, Target: 57.64 C, Output: 255
Time: 33.02 s, dT: 0.1000 s, Temp: 36.70 C, Target: 57.69 C, Output: 255
Time: 33.12 s, dT: 0.1000 s, Temp: 36.80 C, Target: 57.73 C, Output: 255
Time: 33.22 s, dT: 0.1000 s, Temp: 36.88 C, Target: 57.78 C, Output: 255
Time: 33.32 s, dT: 0.1000 s, Temp: 36.88 C, Target: 57.82 C, Output: 255
Time: 33.42 s, dT: 0.1000 s, Temp: 36.98 C, Target: 57.87 C, Output: 255
Time: 33.52 s, dT: 0.1000 s, Temp: 37.00 C, Target: 57.92 C, Output: 255
Time: 33.62 s, dT: 0.1000 s, Temp: 37.06 C, Target: 57.96 C, Output: 255
Time: 33.72 s, dT: 0.1000 s, Temp: 37.13 C, Target: 58.01 C, Output: 255
Time: 33.82 s, dT: 0.1000 s, Temp: 37.22 C, Target: 58.06 C, Output: 255
Time: 33.92 s, dT: 0.1000 s, Temp: 37.20 C, Target: 58.10 C, Output: 255
Time: 34.02 s, dT: 0.1000 s, Temp: 37.27 C, Target: 58.15 C, Output: 255
Time: 34.12 s, dT: 0.1000 s, Temp: 37.40 C, Target: 58.19 C, Output: 255
Time: 34.22 s, dT: 0.1000 s, Temp: 37.42 C, Target: 58.24 C, Output: 255
Time: 34.32 s, dT: 0.1000 s, Temp: 37.38 C, Target: 58.29 C, Output: 255
Time: 34.42 s, dT: 0.1000 s, Temp: 37.40 C, Target: 58.33 C, Output: 255
Time: 34.52 s, dT: 0.1000 s, Temp: 37.47 C, Target: 58.38 C, Output: 255
Time: 34.62 s, dT: 0.1000 s, Temp: 37.60 C, Target: 58.43 C, Output: 255
Time: 34.72 s, dT: 0.1000 s, Temp: 37.63 C, Target: 58.47 C, Output: 255
Time: 34.82 s, dT: 0.1000 s, Temp: 37.68 C, Target: 58.52 C, Output: 255
Time: 34.92 s, dT: 0.1000 s, Temp: 37.72 C, Target: 58.56 C, Output: 255
Time: 35.02 s, dT: 0.1000 s, Temp: 37.84 C, Target: 58.61 C, Output: 255
Time: 35.12 s, dT: 0.1000 s, Temp: 37.86 C, Target: 58.66 C, Output: 255
Time: 35.22 s, dT: 0.1000 s, Temp: 37.96 C, Target: 58.70 C, Output: 255
Time: 35.32 s, dT: 0.1000 s, Temp: 38.02 C, Target: 58.75 C, Output: 255
Time: 35.42 s, dT: 0.1000 s, Temp: 38.03 C, Target: 58.80 C, Output: 255
Time: 35.52 s, dT: 0.1000 s, Temp: 38.10 C, Target: 58.84 C, Output: 255
Time: 35.62 s, dT: 0.1000 s, Temp: 38.16 C, Target: 58.89 C, Output: 255
Time: 35.72 s, dT: 0.1000 s, Temp: 38.28 C, Target: 58.93 C, Output: 255
Time: 35.82 s, dT: 0.1000 s, Temp: 38.30 C, Target: 58.98 C, Output: 255
Time: 35.92 s, dT: 0.1000 s, Temp: 38.33 C, Target: 59.03 C, Output: 255
Time: 36.02 s, dT: 0.1000 s, Temp: 38.42 C, Target: 59.07 C, Output: 255
Time: 36.12 s, dT: 0.1000 s, Temp: 38.54 C, Target: 59.12 C, Output: 255
Time: 36.22 s, dT: 0.1000 s, Temp: 38.55 C, Target: 59.17 C, Output: 255
Time: 36.32 s, dT: 0.1000 s, Temp: 38.62 C, Target: 59.21 C, Output: 255
